,log2FC_rna,pvalue_rna,adjustedpvalue_rna,-log(adjustedp)_rna,category_rna,log2FC_prot,pvalue_prot,adjustedpvalue_prot,-log(adjustedp)_prot,category_prot
AKT1,1.0343353499513377,1.2611027963961154e-12,1.4824211868021548e-11,10.829028386696772,Up,0.5870536581831526,6.755211305559922e-11,2.5975247314212497e-10,9.58544030876842,Not Significant
AKT1S1,0.940087580940192,2.332311594735835e-06,6.287317903497137e-06,5.201534580011815,Not Significant,0.3186336284563411,0.0037869819535527,0.0054931292021364,2.2601801859567967,Not Significant
AKT2,1.1029847379651656,0.0005116405881345,0.0008937519134502,3.048783015400652,Up,1.2256677969943963,1.7110459117849629e-15,1.4780312776572344e-14,13.830316375433604,Up
AKT3,-1.8673570516898472,4.6013113222014647e-10,2.875534135226896e-09,8.54128147256193,Down,-1.6052889334327776,7.116492712707502e-22,1.3717698638254146e-19,18.862718742313,Down
ATG13,-0.568838117135563,0.0003962704941058,0.0007061788355957,3.151085302521594,Not Significant,-0.6060784621370706,5.65407010811826e-10,1.919543892870286e-09,8.716801952724271,Not Significant
ATG14,0.4959272175081857,3.072359039547531e-05,6.64753972603132e-05,4.1773390586230015,Not Significant,-0.8241298824737752,1.720185545886018e-10,6.214998732081763e-10,9.206558955622487,Not Significant
ATG16L1,-0.3351404941934994,0.0002841473398741,0.0005177247787831,3.285901048788123,Not Significant,-0.8262605483284899,2.938785930381795e-09,9.090586255377149e-09,8.041408108057984,Not Significant
ATG2B,-0.7396614154851946,1.186670111138092e-06,3.39038987510072e-06,5.469750357587756,Not Significant,-1.333766651656887,2.29295329688898e-21,2.95224006053089e-19,18.52984833088525,Down
ATG3,0.4147118015092452,0.0013089969452131,0.0021348284322612,2.6706370217706743,Not Significant,-0.0681310046159179,0.1374493547270669,0.1619183265452738,0.7907039933278747,Not Significant
ATG4A,0.6095270989132189,0.0005388803436097,0.0009364637884292,3.0285090114434934,Not Significant,0.5078428984964385,7.996415782137317e-05,0.0001422815245748,3.846851489909631,Not Significant
ATG4C,-0.4596155132951622,0.0008735348534937,0.0014656878937534,2.833958499306987,Not Significant,-0.6594706556758427,1.0212402794887983e-06,2.297901009338284e-06,5.638668684100358,Not Significant
ATG5,-0.7134132262747563,0.0001477992168101,0.0002819407896506,3.549842088233789,Not Significant,-0.8140604064607215,6.673583044991311e-15,4.9441513106985456e-14,13.305908246577031,Not Significant
ATG9A,-0.3846416182379002,8.141061642251064e-07,2.414278922108838e-06,5.617212557214998,Not Significant,-0.5228665442394759,2.4610370213161353e-09,7.697396140288358e-09,8.113656162249898,Not Significant
BCL2L1,0.2319254430771593,0.0300212420734141,0.0394616378715519,1.403824893138184,Not Significant,0.0229396860674563,0.8411170822577384,0.8573430972601644,0.0668453444386309,Not Significant
BNIP3,-1.31930193324526,1.4480679967208712e-08,6.381381014420847e-08,7.19508532409404,Down,-1.5232012263395205,1.0372011671486372e-11,4.4483835800783536e-11,10.351797770992349,Down
C9orf72,-1.1187993158798264,2.5668245726312017e-06,6.873522260682277e-06,5.16282065648155,Down,-1.5433090176261328,6.075188474234491e-18,1.158180161690601e-16,15.936223878309647,Down
CAMKK2,-2.76071533407481,1.1020568974135429e-08,4.9607333264271824e-08,7.304454118655008,Down,-2.655131551558312,6.127435968867144e-23,2.3096413539130486e-20,19.636455453055525,Down
CFLAR,1.251732328717388,0.0002289115166121,0.000424219024715,3.3724098588192506,Up,0.354317800431385,0.0182276418364784,0.0241603876067623,1.6168961025787327,Not Significant
CTSB,0.632593131924736,0.0001099172424727,0.0002146358404091,3.6682977567770383,Not Significant,-0.1261078148085173,0.3846535866207989,0.4221698843458347,0.3745127504904937,Not Significant
CTSD,0.3920708601965934,0.0105278397181111,0.0148978026858058,1.8268777820441504,Not Significant,-0.8649382560454507,6.096819407691665e-08,1.611523443744605e-07,6.792763372177797,Not Significant
CTSL,1.1451529626577148,8.72769193525706e-06,2.0858050785176976e-05,4.680726279456724,Up,0.1243111210816022,0.1868187037543948,0.2157306287308071,0.6660881908063415,Not Significant
DAPK1,-0.6646945969042939,4.730637428760372e-05,9.856554593036606e-05,4.006274868296604,Not Significant,-0.551182578037906,2.298458961692273e-06,4.947200027347989e-06,5.30564052969702,Not Significant
DAPK2,-0.7713364523843378,0.0097429354617799,0.0138728384228934,1.857834671927209,Not Significant,-1.0173981243208392,5.639777054745682e-07,1.3141804200324113e-06,5.881345007648643,Down
DAPK3,0.777944101792162,3.2633823615953915e-08,1.3440439047715441e-07,6.871586544311528,Not Significant,-0.7806655739873072,2.8866556986804227e-10,1.0199320830809407e-09,8.991428746792215,Not Significant
DEPTOR,-1.7756477392107666,6.58591835820242e-10,3.916560893773978e-09,8.407095116759717,Down,-0.8650539339768648,7.6850226328282e-09,2.266101999578152e-08,7.644720545992045,Not Significant
EIF2AK3,0.9627466313536814,8.393866971938325e-13,1.0362722533738566e-11,10.984526130107582,Not Significant,0.3886845861210766,0.000330572261377,0.0005453996938776,3.263285110155449,Not Significant
GABARAPL2,-0.575745105588485,0.0006163895446137,0.0010601858071433,2.974618014032038,Not Significant,-1.915846110717872,6.902588266089297e-10,2.313978784596569e-09,8.635640627136594,Down
HMGB1,0.5058119653689204,0.0009510445234419,0.0015859663183503,2.799706040164636,Not Significant,1.0916881595968748,2.552312198410069e-11,1.0385855228010323e-10,9.983557735478152,Up
IGF1R,-0.8605319485736942,3.26028598725484e-05,7.01347876053924e-05,4.154066513879847,Not Significant,-0.3619403818539299,0.0010032041217783,0.0015634603538839,2.805913127089885,Not Significant
IRS1,-0.7514033114046459,8.407339843830714e-06,2.016080494804823e-05,4.695492132071917,Not Significant,-0.9559201524877748,6.035766759931114e-14,3.700017444294639e-13,12.431796228380833,Not Significant
IRS2,0.4910793909769992,0.005700052267549,0.0083926229966807,2.076102285303268,Not Significant,0.0558550903660471,0.4561416022868383,0.4944265269398833,0.3058982365548414,Not Significant
ITPR1,-2.926722943496017,6.366116402311622e-14,1.1597153098894626e-12,11.93564860949591,Down,-2.145999068363828,6.78770563459534e-21,6.197651574605517e-19,18.207772842985342,Down
KRAS,-1.1498041925289932,1.3659959840500955e-05,3.1382083337105275e-05,4.503318228633862,Down,-1.548363392850926,3.946375587539605e-15,3.095540579555369e-14,13.509263498431416,Down
LAMP1,0.6320901987560994,3.6210475278066e-05,7.723572474089284e-05,4.112181773898675,Not Significant,0.0853284739470216,0.5144322823717684,0.5521474146429921,0.2579449570191788,Not Significant
MAP2K1,-1.5595620416466964,1.32327387017444e-05,3.050066829468992e-05,4.515690644800216,Down,-1.9882687361693163,5.811613070051397e-17,7.628383410613491e-16,15.117567486977748,Down
MAP2K2,0.2574747564021926,0.0250474421595146,0.0333811261165432,1.4764990164299523,Not Significant,-0.5314280169132811,1.9688165770020411e-10,7.081344765036024e-10,9.149884260872762,Not Significant
MAPK1,-0.5588591475093736,0.0001786190573518,0.0003361495205981,3.473467503780713,Not Significant,-0.6025779509031706,1.7935783316602408e-07,4.43242090556777e-07,6.353359005435324,Not Significant
MAPK10,-2.383408669872466,2.4110767071156394e-11,2.0240988956235792e-10,9.69376827208207,Down,-2.536649753741466,1.25059262916966e-18,3.205390927080878e-17,16.494118996684737,Down
MAPK3,-1.2445793922420734,5.884748846435918e-15,1.493273548589306e-13,12.825860627800209,Down,-0.9958407651128212,6.571749636120025e-10,2.208048481677642e-09,8.655991395121317,Not Significant
MAPK8,-1.2667546432179009,1.954808031436664e-06,5.344026081056431e-06,5.272131430990735,Down,-1.3558733341027,1.0923905852399064e-14,7.72465597945801e-14,13.112120852945193,Down
MAPK9,-2.059222293684307,9.35563976317321e-08,3.4472829178568737e-07,6.462523072663422,Down,-0.8826448887826872,2.2787437955835328e-15,1.8930123039288903e-14,13.72284656326227,Not Significant
MRAS,-0.961110118227282,1.562718462104617e-09,8.56985617160692e-09,8.067026466805112,Not Significant,-1.1959562047181471,4.639788375114307e-14,2.9013651317040653e-13,12.537397612560436,Down
