,log2FC_rna,pvalue_rna,adjustedpvalue_rna,-log(adjustedp)_rna,category_rna,log2FC_prot,pvalue_prot,adjustedpvalue_prot,-log(adjustedp)_prot,category_prot
ACSL1,0.6365776141064927,0.0075674361802357,0.0115804879355453,1.9362731415368613,Not Significant,-0.5336566849115514,3.7868659416831936e-06,7.91992919167779e-06,5.101278701213673,Not Significant
ACSL3,-0.9750851455826036,2.95663573453234e-05,6.985259941294274e-05,4.15581742792214,Not Significant,0.0557050981049279,0.5743557514417935,0.609985615422674,0.2146804063272921,Not Significant
ACSL4,-0.901033373537622,0.0005008422056191,0.0009404444323219,3.026666860346356,Not Significant,-0.8560374740411927,3.513982211527448e-12,1.6220417223853306e-11,10.78993797899744,Not Significant
ACSL6,-2.612841327286091,7.736573819491269e-17,4.407610103648117e-15,14.355796830064474,Down,-2.253268501203838,3.791570292055121e-15,2.985359695158983e-14,13.525003334815509,Down
ATG5,-0.5086188749719973,0.002394329106958,0.0039987518938155,2.398075541225196,Not Significant,-0.8140604064607215,6.673583044991311e-15,4.9441513106985456e-14,13.305908246577031,Not Significant
CP,2.135044189469859,0.027138142762271,0.0376933200313136,1.4237356081652175,Up,1.3829593718209852,1.1289991938275284e-11,4.814318971139182e-11,10.31746513906795,Up
CYBB,2.899141799944992,2.691374149415583e-08,1.2218523290316622e-07,6.912981279005096,Up,1.11158339478102,1.6550509569668852e-09,5.278010236234165e-09,8.277529771839406,Up
FTL,1.3285688954757582,2.463764458631528e-06,7.194192219204062e-06,5.143017962594183,Up,-0.8543290530565288,0.0034901484416732,0.0050859519990727,2.293627742987715,Not Significant
GCLM,-0.3991402940578723,0.0045636238105355,0.0072559889942132,2.139303384679505,Not Significant,0.0118100178271189,0.8912097494232232,0.902481008050037,0.0445619286864109,Not Significant
GSS,0.625255717060849,0.0002327680886389,0.0004628712445614,3.334539798513324,Not Significant,-0.217258812880766,0.0013741141692365,0.002108365917981,2.676054012829106,Not Significant
HMOX1,4.240870413381924,1.1747443017972064e-09,7.275000357544039e-09,8.138166980997807,Up,0.647386395595621,0.0173028222131118,0.0229960516363995,1.638346724840022,Not Significant
LPCAT3,1.303165413458597,4.772766811342966e-07,1.6271016195420995e-06,5.788585322645061,Up,1.264578733001383,2.821329038379065e-12,1.323443621473082e-11,10.878294554857272,Up
MAP1LC3A,-1.1251883129210292,3.388127517315495e-05,7.899096646479125e-05,4.102422572492055,Down,-1.5687419535298148,2.3271877425247592e-14,1.5488297450089658e-13,12.809996319404734,Down
MAP1LC3B,-0.7805146164560384,5.3136389276150115e-09,2.8129058621541585e-08,7.550844801866471,Not Significant,-0.997927700616686,2.3969033097747524e-12,1.1361278028891347e-11,10.944572812139452,Not Significant
PCBP1,-0.2674336912204254,0.0140285034861379,0.0204964676025168,1.6883209795745884,Not Significant,0.2116618493554128,0.0058762524702395,0.0083184974789505,2.0799551106719063,Not Significant
PCBP2,0.2479257766897475,0.0287459358088716,0.0398002415253673,1.400114292428423,Not Significant,0.1272478784897444,0.097043661432767,0.1167102798213371,0.9328908896867548,Not Significant
PRNP,-1.6208434440001227,2.0436540658546125e-08,9.491826214577857e-08,7.022650221860176,Down,-2.756029896174164,6.8067108192349885e-16,6.524038021861602e-15,14.185483516571589,Down
SLC39A14,0.5931714896106328,0.0167402475307963,0.0240812871091307,1.6183203043970047,Not Significant,0.5541317357829098,0.0016365307160409,0.0024835469052734,2.6049276333297,Not Significant
SLC3A2,1.1711727573112576,2.9378917399477088e-08,1.322270121449672e-07,6.878679815446758,Up,-1.3102821594433085,5.015837525871199e-10,1.7151725626410415e-09,8.765692179275629,Down
STEAP3,3.761018745957415,1.1969262419553429e-12,1.576187576661193e-11,10.8023920998786,Up,1.1912313127892875,5.506341230453787e-10,1.873668057136105e-09,8.727307347131948,Up
TP53,2.5104637547572715,1.2999299020853764e-06,4.019488592267674e-06,5.395829199573432,Up,0.1014549212049908,0.4932891191933676,0.5307676702174657,0.275095538471062,Not Significant
VDAC2,-0.5517900981101711,0.0064274128903838,0.009953844344001,2.0020091549391923,Not Significant,-1.4669503455066346,2.2552740723358865e-13,1.250007871083293e-12,11.90308725230612,Down
VDAC3,-0.4811089337452969,0.0317493503079384,0.0436169309971596,1.3603448957928266,Not Significant,-1.2009984465685408,7.725918962033664e-09,2.2775160146079986e-08,7.642538560554116,Down
