,log2FC_rna,pvalue_rna,adjustedpvalue_rna,-log(adjustedp)_rna,category_rna,log2FC_prot,pvalue_prot,adjustedpvalue_prot,-log(adjustedp)_prot,category_prot
BAK1,0.8242201538141085,2.531755892203504e-05,5.5590472663596544e-05,4.254999633313139,Not Significant,0.7868036204547797,0.002357631633722,0.0035113160216644,2.4545300818736675,Not Significant
BAX,1.9882107488147795,2.5308369577218403e-18,2.6837527907462967e-16,15.571257490946904,Up,0.6954278897741732,2.33553835356393e-05,4.4225247811982805e-05,4.354329724883471,Not Significant
CASP1,2.594500205868304,2.9316917100156587e-08,1.219399764108082e-07,6.913853893328014,Up,1.341087181342664,7.043095892347796e-11,2.6992483484332927e-10,9.568757155683471,Up
CASP3,1.5755656144216417,5.795486612811985e-17,3.111742575283551e-15,14.506996338018494,Up,2.026762431567583,1.04817827202714e-14,7.437278550463875e-14,13.12858595245578,Up
CASP4,2.523746784721533,3.4713359977079034e-05,7.42310312904042e-05,4.12941450575985,Up,1.140076673717853,6.054284751483697e-11,2.347078211478354e-10,9.62947243820391,Up
CHMP2A,1.1154332823039503,7.473621365262465e-08,2.817711887487053e-07,6.55010341579423,Up,-0.0090095396659742,0.939205565021672,0.9459304040939124,0.0241408152153758,Not Significant
CHMP2B,-0.6028103513487615,0.0008539298949958,0.0014366215367715,2.8426576272310413,Not Significant,-0.2121537996731782,0.0075725389479459,0.0105490575360237,1.97678633896228,Not Significant
CHMP4B,-0.2736959383514943,0.0191810944544013,0.0260172809389578,1.5847380934358797,Not Significant,0.0041332911083999,0.965143861878138,0.9689604994492224,0.0136939269955679,Not Significant
CHMP6,0.7104805412849728,6.023935489416748e-06,1.4866517912882e-05,4.827790741519026,Not Significant,-0.8469337965984157,5.322437881120809e-07,1.2449720427996965e-06,5.904840401013344,Not Significant
CYCS,-0.8702580145802301,0.000806040567664,0.0013628822891319,2.865541652153614,Not Significant,-1.7879226340203809,1.9205143893018294e-15,1.6354068485987666e-14,13.78637418788364,Down
GSDMD,2.405364482352603,3.8996012493630133e-07,1.2538966800537184e-06,5.901738247501448,Up,1.119867833756881,1.1008245843008798e-09,3.59763990517672e-09,8.443982308200306,Up
HMGB1,0.5058119653689204,0.0009510445234419,0.0015859663183503,2.799706040164636,Not Significant,1.0916881595968748,2.552312198410069e-11,1.0385855228010323e-10,9.983557735478152,Up
IL18,2.2667677425947126,1.1378777130007967e-05,2.6559268027734075e-05,4.575783898276026,Up,1.1136263050620432,2.0726926295364064e-06,4.490977847802759e-06,5.347659087132954,Up
IRF2,0.869929112739662,7.002619647865534e-05,0.00014157011907,3.84902840266624,Not Significant,1.1126586382664103,6.991943561447849e-11,2.6806313271127315e-10,9.571762911347362,Up
TP53,2.9241244193783835,3.920503574802231e-07,1.2598134932235302e-06,5.899693744453252,Up,0.1014549212049908,0.4932891191933676,0.5307676702174657,0.275095538471062,Not Significant
