,log2FC_rna,pvalue_rna,adjustedpvalue_rna,-log(adjustedp)_rna,category_rna,log2FC_prot,pvalue_prot,adjustedpvalue_prot,-log(adjustedp)_prot,category_prot
ACTB,1.263161753346271,2.465781761604184e-07,8.903328124157901e-07,6.050447620796022,Up,-0.4623518382854799,0.1155915130712405,0.1623960128976303,0.7894246376429614,Not Significant
ACTG1,1.224014571056852,2.296305279033317e-07,8.351256094217197e-07,6.07824819831755,Up,-0.3484961064641523,0.3621641707709196,0.430830497549086,0.3656935615289325,Not Significant
AIFM1,0.4200311410027524,2.286940510396339e-05,5.51955886481378e-05,4.258095630646308,Not Significant,-0.7477409949125986,0.0006894424139122,0.0026345103107239,2.579300097382797,Not Significant
AKT1,0.8799723391974368,2.8838297981730844e-11,2.607872655906252e-10,9.583713619300347,Not Significant,0.2753048962360312,0.0163340587593619,0.0317559240990285,1.498175244749206,Not Significant
AKT3,-1.462356358216475,4.817266490639495e-09,2.5772247810250813e-08,7.588847701394174,Down,-1.3391499937865332,0.0002181620261285,0.0011191959240865,2.9510938801369737,Down
APAF1,0.9923328046864182,3.1923590812604886e-08,1.421114687786927e-07,6.847370871922552,Not Significant,0.6959341955677649,0.0001088584702804,0.0006789142103949,3.168185100986029,Not Significant
ATM,0.6484578981676989,0.0007081597052661,0.0012968552755591,2.8871084869328865,Not Significant,0.8037877594544143,8.522127604578904e-05,0.0005686335015132,3.2451675570730854,Not Significant
BAK1,0.9237226317640844,8.690375677826177e-06,2.286415371596263e-05,4.640844868776603,Not Significant,0.9683077107298244,0.0005683957128284,0.0022778280828829,2.642479057022831,Not Significant
BAX,1.7102341918159496,3.206451470626163e-17,2.158103661351739e-15,14.665927698452084,Up,0.3729411117731548,0.0649831388372687,0.1000161898798063,0.9999296939364544,Not Significant
BID,0.4413446288971308,0.0015350238333231,0.0026483696004277,2.577021405854256,Not Significant,0.6239843481822132,0.0015816409245692,0.0049469051634137,2.3056664153687607,Not Significant
BIRC2,0.3722531967317586,1.4247802897385278e-05,3.5847244352712114e-05,4.445544223773273,Not Significant,-0.1501461125757724,0.1414652006042089,0.1927623082981033,0.7149778817320734,Not Significant
BIRC6,0.3151259559958532,1.271874351503639e-05,3.238024315655208e-05,4.489719894274668,Not Significant,-0.148394571036854,0.0662453375071294,0.1016459751999451,0.9929098131209768,Not Significant
CAPN2,1.2216725628427874,1.0367201183912904e-05,2.684121941062416e-05,4.571197757829594,Up,0.7737977447744401,0.0159495213614355,0.0311024157988435,1.5072058769744363,Not Significant
CASP10,0.7430253728107434,0.0111889949150703,0.016600579495496,1.7798767512790117,Not Significant,0.4163845235746982,0.1287817947484797,0.1780658894339749,0.7494192666648166,Not Significant
CASP2,1.6367470699439988,1.7788165783816383e-08,8.38941863792913e-08,7.0762681334606095,Up,0.5175771790626609,0.0029494280309674,0.0079789863450288,2.098052278163371,Not Significant
CASP3,1.5202781887745722,2.5494147816562844e-16,1.1568830860542978e-14,13.936710528383635,Up,1.1174697965977218,7.966895857272289e-07,2.4062683561500373e-05,4.618655940131626,Up
CASP6,2.030646388223172,2.8138278390616096e-05,6.669447201236056e-05,4.175910161196187,Up,0.9501195225426714,1.427349120186191e-05,0.0001632350257114,3.787186648026253,Not Significant
CASP7,0.785389196821658,0.0351325309730502,0.0479508355266912,1.3192038209965489,Not Significant,0.8972802968779231,0.0318567432327448,0.0554046516808088,1.256453771110953,Not Significant
CASP8,2.437777783923885,1.0428793382576039e-10,8.29200193654862e-10,9.081340605151226,Up,0.6464349521726718,0.0135033316677139,0.0271082313074705,1.5668988172946106,Not Significant
CFLAR,1.0052225138850197,0.0009813729408227,0.0017532099673432,2.7561660689615697,Up,0.5074330745369038,0.0058557164991788,0.0136878852548737,1.8636636441291432,Not Significant
CHUK,0.2394768538406033,0.0029300715792849,0.0048144741624068,2.317451139658,Not Significant,-0.1301448407109318,0.3461798792151119,0.4147008754898569,0.3822650477803938,Not Significant
CTSB,1.1763449710547569,1.9167382123297505e-07,7.096369257997025e-07,6.1489637941715225,Up,0.1463274305667004,0.4976257238783075,0.562111263434911,0.2501777123433902,Not Significant
CTSC,2.338653206894442,5.574090774393476e-11,4.679449205103321e-10,9.329805262580082,Up,2.024623146186173,0.0039360878165416,0.0100197451901154,1.9991433227735549,Up
CTSD,0.8108762274434973,3.857476767619496e-05,8.890464643559552e-05,4.051075540845227,Not Significant,-0.9771277120530192,7.090417667228101e-05,0.0004949977028717,3.305396816485502,Not Significant
CTSF,-0.6537137875109664,9.222436090844944e-05,0.0001974220594542,3.7046043219602174,Not Significant,-0.4388009107396746,0.0093987630463284,0.0200105797809843,1.6987403280537214,Not Significant
CTSL,1.576467299159372,6.790607510903551e-08,2.822136141288877e-07,6.549422039488696,Up,0.520753723669094,0.0231170611432527,0.0423372295102892,1.3732775650166735,Not Significant
CTSO,1.3186178087328635,6.185563961382542e-07,2.0531588582196947e-06,5.687577446840254,Up,1.0343902998946255,0.0019926745764616,0.0058942170123299,2.229573878407641,Up
CTSS,2.60399468555533,8.190945634636592e-11,6.681423993791823e-10,9.175130967653356,Up,1.3273301660023078,0.0003099447323681,0.0014441426675113,2.840389900497464,Up
CTSZ,1.5497797625229062,4.5982698659365535e-09,2.4679259791925866e-08,7.607667870291265,Up,0.6030723164389146,0.0095101864106405,0.0202023531323178,1.694598041797882,Not Significant
CYCS,-0.819600851007035,0.0013947094749259,0.0024262309187367,2.61506786712957,Not Significant,-2.027432425866403,8.310324481810514e-06,0.0001159324344142,3.935795044480551,Down
DAB2IP,-0.6922707862070183,2.397128522644652e-05,5.7647822241876886e-05,4.239217094374487,Not Significant,-0.7711230558057421,0.0030938515225483,0.0082871591606294,2.081594320149987,Not Significant
DAXX,0.836639018832031,5.834736674688793e-13,8.385040978718247e-12,11.076494810602592,Not Significant,0.877960607021622,0.0004049478130003,0.0017695641416961,2.752133690794292,Not Significant
