,log2FC_rna,pvalue_rna,adjustedpvalue_rna,-log(adjustedp)_rna,category_rna,log2FC_prot,pvalue_prot,adjustedpvalue_prot,-log(adjustedp)_prot,category_prot
AKT1,0.6766457748639603,0.0003573783711577,0.0014767144015765,2.8307034896661896,Not Significant,0.2753048962360312,0.0163340587593619,0.0317559240990285,1.498175244749206,Not Significant
AKT1S1,0.7879884460789537,0.0028639697487664,0.0074997741744407,2.1249518134444068,Not Significant,-0.0910467924748282,0.4360108889617173,0.5038386566741918,0.2977085146143343,Not Significant
AKT3,-1.111543252231222,0.00147544559975,0.0044210704853903,2.354472561056108,Down,-1.3391499937865332,0.0002181620261285,0.0011191959240865,2.9510938801369737,Down
ATG14,0.8408016222280459,2.7048175484065945e-06,4.763694402560845e-05,4.322056106874079,Not Significant,-0.9950552061715202,8.917944142153471e-05,0.0005893873780643,3.2295991689538885,Not Significant
ATG2B,-0.5003920462357954,0.0006686556714184,0.0023796349809531,2.623489655513056,Not Significant,-1.081309943632967,6.9866507499056e-06,0.0001031546775259,3.9865110742576326,Down
ATG4A,0.9072219627254086,2.409762036788506e-05,0.0002109117528984,3.675899218853637,Not Significant,0.6606433675064114,0.0074363165622911,0.0165288531063184,1.781757279935958,Not Significant
ATG5,-0.5250071103951051,0.0236245520587145,0.0417093826567631,1.3797662381269655,Not Significant,-0.7173900345809634,0.0007465025291935,0.0028061917032775,2.5518826637311167,Not Significant
ATG9A,-0.3938365489177862,0.004062965423193,0.0099128877871752,2.0037998099607264,Not Significant,-0.5411244427096592,4.287882829245116e-08,3.486919716375969e-06,5.457558051802771,Not Significant
BNIP3,-1.0244247955875885,0.0211594074262079,0.0380846650726494,1.4192498593627003,Down,-1.3270597756640938,0.0004564606429854,0.0019350045171859,2.7133180168018427,Down
C9orf72,-0.5127679576880162,0.024166742530393,0.0425101736076792,1.3715071214101258,Not Significant,-1.436197731775686,2.9328987839260894e-08,2.587164698464971e-06,5.587175923290512,Down
CAMKK2,-2.8501411065341173,7.44358033348571e-09,1.0867627286889135e-06,5.963865264441028,Down,-2.6831314966723405,1.586555450158292e-06,3.86755402358259e-05,4.412563611182584,Down
CFLAR,0.7229504486360483,0.0174239666766777,0.0323257901106541,1.4904508512425068,Not Significant,0.5074330745369038,0.0058557164991788,0.0136878852548737,1.8636636441291432,Not Significant
CTSL,1.2620582202367707,0.0197104073890384,0.0358934642149627,1.444984624229087,Up,0.520753723669094,0.0231170611432527,0.0423372295102892,1.3732775650166735,Not Significant
EIF2AK3,0.7724035484118907,0.0207184341477588,0.0373978687698481,1.4271531466729857,Not Significant,0.171976173864758,0.1894868019106172,0.2475050973883316,0.6064158523068649,Not Significant
GABARAP,0.6442629195265752,0.0007153822895937,0.0025049569639788,2.6011997310610298,Not Significant,0.1193298082702219,0.3330173677223595,0.4007373156788485,0.3971402152442212,Not Significant
HRAS,-0.7441211726223997,0.0027754242961296,0.0073192733924633,2.1355320305955083,Not Significant,-1.8508835532745245,2.965343951226384e-06,5.86811125253145e-05,4.231501661034874,Down
IRS1,-0.8023435923118143,0.0148628385838469,0.028261275178119,1.5488082462267994,Not Significant,-0.8784185639258206,0.0013889234524037,0.0044731758094278,2.349384032396552,Not Significant
ITPR1,-2.6364099213051126,0.0008586272932321,0.0028893159223177,2.5392049691222174,Down,-2.0019364391075976,7.194918331172074e-06,0.0001053331995909,3.977434723527965,Down
KRAS,-1.0993039435842071,2.0263235741050425e-05,0.0001859124197225,3.730691596582085,Down,-1.129783482192406,0.0002610616801621,0.0012727826832822,2.8952457420714937,Down
LAMP1,0.7317129713342148,0.0130580274700228,0.0254688419618607,1.593990801444212,Not Significant,0.2770167663617907,0.1024383106552082,0.1466887296203141,0.8336032525625454,Not Significant
MAP2K1,-1.495333534814396,6.173886360864327e-05,0.0004066318848949,3.39079857038314,Down,-1.7629828184918812,0.0003191561541743,0.0014797756832075,2.829804113610872,Down
