,log2FC_rna,pvalue_rna,adjustedpvalue_rna,-log(adjustedp)_rna,category_rna,log2FC_prot,pvalue_prot,adjustedpvalue_prot,-log(adjustedp)_prot,category_prot
ACSL3,-1.4616763779571542,2.7447879841012563e-05,0.0002321661977484,3.6342010111261502,Down,-0.6718333298309419,0.0001150479201887,0.0007059349491659,3.151235316681728,Not Significant
ACSL4,-0.7017569649357753,0.0127191790694386,0.0249383047772528,1.603133071743892,Not Significant,-0.6916167041696851,0.0009881046370959,0.0034677358598281,2.4599539904887675,Not Significant
ACSL6,-3.1376488925318853,0.0030014654829063,0.0077689525372042,2.1096375317753617,Down,-2.0320299317556443,0.0006628672931986,0.0025592676761516,2.591884288479348,Down
ATG5,-0.5250071103951051,0.0236245520587145,0.0417093826567631,1.3797662381269655,Not Significant,-0.7173900345809634,0.0007465025291935,0.0028061917032775,2.5518826637311167,Not Significant
CYBB,3.3896930055047534,9.574982034255684e-08,5.543584426039756e-06,5.256209333995541,Up,1.6009302029634085,2.126705013340421e-05,0.0002140896758593,3.669404275374444,Up
GCLC,0.9263083263085824,0.01458945719225,0.0278571250482803,1.555063706293032,Not Significant,0.2602980128203673,0.2230603888243272,0.2841304563959658,0.54648221106493,Not Significant
HMOX1,3.982996269793542,0.0024848851340157,0.0067022042409838,2.173782341737881,Up,1.0908176600128825,0.0509568988675371,0.081739922994636,1.0875657757634072,Not Significant
LPCAT3,1.4284553631431045,7.050328821777116e-07,1.9041558324553e-05,4.720297512671042,Up,1.4258650727712603,6.092403963516453e-05,0.0004456488605498,3.35100719955813,Up
MAP1LC3A,-3.4064656451288577,7.103489555338646e-06,9.0856242501711e-05,4.041645228059762,Down,-2.332031069820778,0.0002725135438882,0.0013163598170385,2.880625383370037,Down
MAP1LC3B,-0.5485595339768494,0.0058407254107803,0.0131757289253999,1.8802253488272225,Not Significant,-0.3292867887443736,0.1279267606905283,0.1770744816688099,0.7518440207914964,Not Significant
NCOA4,0.4315146955482554,0.000673157295322,0.0023883949449974,2.6218938566671195,Not Significant,0.1819026028601096,0.1395694965205398,0.1905033948704824,0.7200972805637941,Not Significant
PCBP1,-0.478467865014089,0.0249860126077717,0.043730778242906,1.3592127937826932,Not Significant,0.02894903386409,0.7462483737324477,0.789320122160456,0.1027468255718574,Not Significant
PRNP,-2.0927708678593966,1.3965301157026392e-06,3.0255149216319115e-05,4.5192007008156985,Down,-2.797976497581672,9.971553228070937e-05,0.0006399130551848,3.1938790294825345,Down
SLC39A14,0.8832972765468732,0.0080057614773783,0.0170724049794896,1.7677052957715522,Not Significant,0.7284588828249848,7.10135348983895e-05,0.0004951583006323,3.3052559362169016,Not Significant
SLC3A2,1.1041105090737773,0.0013436125718795,0.0041066510277533,2.386512200764637,Up,-1.4034625000292105,0.0030093462415668,0.0081087975740278,2.0910435410639177,Down
STEAP3,2.5511609800326625,0.0016385397191973,0.0048124341490361,2.3176352001132403,Up,0.309952416817724,0.230821734506827,0.2927529468114491,0.533498724684257,Not Significant
TP53,2.8822912129847538,0.0001103199990792,0.0006146516648492,3.2113709377081867,Up,1.1727621299639537,0.0157058370971814,0.0307066225290311,1.5127679496810085,Up
VDAC3,-0.7022885051275516,0.0053910774638645,0.0123853396513047,1.9070920789719843,Not Significant,-1.2461781897357431,0.0001082810152539,0.0006777493011293,3.168930921576068,Down
