,log2FC_rna,pvalue_rna,adjustedpvalue_rna,-log(adjustedp)_rna,category_rna,log2FC_prot,pvalue_prot,adjustedpvalue_prot,-log(adjustedp)_prot,category_prot
AIFM1,0.4200311410027524,2.286940510396339e-05,5.51955886481378e-05,4.258095630646308,Not Significant,-0.7477409949125986,0.0006894424139122,0.0026345103107239,2.579300097382797,Not Significant
BAX,1.7102341918159496,3.206451470626163e-17,2.158103661351739e-15,14.665927698452084,Up,0.3729411117731548,0.0649831388372687,0.1000161898798063,0.9999296939364544,Not Significant
BID,0.4413446288971308,0.0015350238333231,0.0026483696004277,2.577021405854256,Not Significant,0.6239843481822132,0.0015816409245692,0.0049469051634137,2.3056664153687607,Not Significant
BIRC2,0.3722531967317586,1.4247802897385278e-05,3.5847244352712114e-05,4.445544223773273,Not Significant,-0.1501461125757724,0.1414652006042089,0.1927623082981033,0.7149778817320734,Not Significant
CAMK2A,-5.198609490484706,6.0148701656045624e-18,6.311854380031285e-16,15.199843029234374,Down,-4.245013464734142,0.0001211772555628,0.0007354717511103,3.133434003524506,Down
CAMK2B,-3.0988458956693314,1.4042261961319393e-15,4.861228419186652e-14,13.31325397183604,Down,-3.441200347273041,2.229113650032898e-05,0.0002209794665065,3.655648079243305,Down
CAMK2G,-2.148725855904324,1.9770068942102725e-15,6.466353068920222e-14,13.189340586192516,Down,-2.677312047693929,0.0001600580961314,0.0008995921828466,3.0459543270929244,Down
CAPN2,1.2216725628427874,1.0367201183912904e-05,2.684121941062416e-05,4.571197757829594,Up,0.7737977447744401,0.0159495213614355,0.0311024157988435,1.5072058769744363,Not Significant
CASP1,2.2939564173204694,1.791034237416511e-07,6.68998105588948e-07,6.174575112028038,Up,1.5332561885499487,3.4190540109406374e-05,0.0002978153405847,3.526052935328886,Up
CASP8,2.437777783923885,1.0428793382576039e-10,8.29200193654862e-10,9.081340605151226,Up,0.6464349521726718,0.0135033316677139,0.0271082313074705,1.5668988172946106,Not Significant
CFLAR,1.0052225138850197,0.0009813729408227,0.0017532099673432,2.7561660689615697,Up,0.5074330745369038,0.0058557164991788,0.0136878852548737,1.8636636441291432,Not Significant
CHMP1A,0.3377483324442956,4.025502769654299e-06,1.124283751081159e-05,4.949124066011933,Not Significant,-0.0871405859566575,0.3598129713431879,0.4284742270576871,0.3680752959887547,Not Significant
CHMP1B,-0.3347331537399931,0.0248841465820609,0.0347736014242865,1.4587503280772312,Not Significant,-0.107317220660481,0.1444306524798785,0.1963660738849341,0.7069335430118001,Not Significant
CHMP2A,0.7282791614411472,3.985253169254846e-06,1.1142781134352852e-05,4.9530063997764175,Not Significant,-0.4789418755942322,0.013994723931385,0.0279438099754051,1.5537143806667728,Not Significant
CHMP3,-0.825386637841941,0.0009606681645609,0.0017186594014893,2.764810181899283,Not Significant,-0.5265021596914835,0.0020351433936916,0.0059875092099875,2.222753805545032,Not Significant
CHMP4A,-0.7288362869001634,4.418694073071992e-06,1.224929116459198e-05,4.91188904209236,Not Significant,0.6352729941643417,0.0001898162212331,0.0010121911100492,2.994737481365825,Not Significant
CHMP4B,-0.5390902049956523,0.0001098030745782,0.0002313166401718,3.635793124363617,Not Significant,0.0127920384226913,0.9117904533883152,0.9308382531697696,0.0311257775133912,Not Significant
CHMP6,0.6680943416257641,1.4774006101310376e-05,3.7078559408221405e-05,4.430877147591559,Not Significant,-0.4713021001748804,0.0035699232886191,0.0092644379742465,2.033180921956197,Not Significant
CYBB,2.899141799944992,2.691374149415583e-08,1.2218523290316622e-07,6.912981279005096,Up,1.6009302029634085,2.126705013340421e-05,0.0002140896758593,3.669404275374444,Up
CYLD,-0.7009283554652086,1.952125690923457e-05,4.77554983253106e-05,4.320976618742603,Not Significant,-1.4317811059528784,7.316321597746408e-05,0.0005056812185321,3.296123176166386,Down
DNM1L,-0.8347566923586456,0.0012998808898519,0.0022710718148401,2.643769132492864,Not Significant,-1.9710286769110728,1.0344733255017335e-06,2.8790996912159208e-05,4.540743297054745,Down
FADD,1.2174456551004835,2.1688678924262015e-10,1.5971619260454352e-09,8.796651051286027,Up,0.2243258752642687,0.1579113040282772,0.2118168509832909,0.6740394927745735,Not Significant
FAS,0.9310331756563812,0.0007098382420758,0.0012994567418993,2.886238173313491,Not Significant,-0.3440901129841294,0.3296778510693722,0.3970859467462503,0.4011154827637547,Not Significant
FTL,1.3285688954757582,2.463764458631528e-06,7.194192219204062e-06,5.143017962594183,Up,0.5191988528842548,0.4872132316100597,0.552681182195849,0.2575253221155863,Not Significant
GLUD1,-0.9860589057700756,5.613472156727015e-07,1.883120829399532e-06,5.725121812825661,Not Significant,-1.1851295198802625,0.0110462538134899,0.0229044732957403,1.6400796906760928,Down
GLUD2,-1.8887448878097413,2.2147904368130335e-07,8.094803537638242e-07,6.091793687189175,Down,-1.5678601127609892,0.0017911979574808,0.0054404959262964,2.2643615105523147,Down
GLUL,-0.5969705395776153,0.0080114905015165,0.012211795326415,1.913220483226424,Not Significant,-2.435544456506054,2.509668274369244e-05,0.0002409883493349,3.6180039530344494,Down
HMGB1,0.3882126582543321,0.0062266890206795,0.0096712403938214,2.014517821506959,Not Significant,0.9990883818124122,1.5434760042006343e-05,0.0001734993707097,3.760702096076401,Not Significant
HSP90AA1,-0.8543908714209607,9.06141479562269e-08,3.641192367415356e-07,6.43875637629811,Not Significant,-0.7033461393555435,0.0048425600279409,0.0117360203331401,1.930479146730988,Not Significant
HSP90AB1,-0.6955980770683823,0.0004001693685727,0.0007652441569858,3.1161999777691447,Not Significant,-0.3861824754042912,0.0015354382984046,0.0048291706906167,2.3161274438680564,Not Significant
IFNGR1,0.9982127014574048,3.616214273670264e-06,1.019298897396593e-05,4.991698445575926,Not Significant,0.2123484757693354,0.257576220511331,0.3219393466981801,0.492225941582089,Not Significant
IL33,0.9888416227522754,0.0080917046147229,0.0123266040055524,1.9091565555854173,Not Significant,0.7009446489855469,0.0124478358108733,0.0252670676590056,1.5974451567111618,Not Significant
IRF9,1.5243046250104122,0.0004068291453757,0.0007766027528451,3.1098010743316133,Up,0.9812783612569164,0.0006032704174346,0.0023749779784711,2.624340412932926,Not Significant
JAK1,0.2099671171428063,0.0048067034923234,0.0076074769078731,2.1187593572476104,Not Significant,0.2651230977395901,0.0946683993814652,0.1372045905265485,0.8626313579660196,Not Significant
MAPK10,-2.050018530382541,4.317496374399185e-09,2.3283971346733082e-08,7.632942943829837,Down,-1.8908282869930093,8.531167326539452e-05,0.0005688720096217,3.2449854344268,Down
MAPK8,-0.9234377037660336,1.8653468794657125e-05,4.591132290187537e-05,4.338080193169349,Not Significant,-0.7730710901348394,0.0001302628647206,0.0007767773862121,3.1097034262337133,Not Significant
MAPK9,-1.738177886591732,1.3994934396255465e-06,4.300944756189065e-06,5.366436135738476,Down,-0.6858364071079566,2.6740718216357983e-06,5.40474050318583e-05,4.267225152911392,Not Significant
PARP1,0.6525768727562173,1.3242975039260833e-08,6.410847215065526e-08,7.19308457320902,Not Significant,0.8158445822355909,0.0349458381915948,0.0598767456356067,1.2227418120515303,Not Significant
PLA2G4A,0.7971796526313994,0.0017780931223165,0.0030349898533067,2.517842756536087,Not Significant,0.6580959261014427,0.0023144337785023,0.0066202091784642,2.179128287959464,Not Significant
PLA2G4C,-0.670863689184845,0.0017739210894624,0.0030288950941093,2.518715768211683,Not Significant,-0.2458246777653652,0.5182242662538624,0.5818354425020444,0.2351998272377449,Not Significant
PPID,-0.8497344058790794,1.2190069175635757e-05,3.1144498319897186e-05,4.506618660412095,Not Significant,-0.695120721893108,0.010282470910976,0.021526596885026,1.6670246218658926,Not Significant
PYCARD,2.870861265488477,2.613472026396245e-07,9.376110111793366e-07,6.027977300999251,Up,0.564968820190716,0.031061065889216,0.0543203351547127,1.2650375591363678,Not Significant
PYGL,2.830340748366824,4.069754457004375e-10,2.808130575333019e-09,8.551582701802865,Up,1.385864822252472,0.0024623228684232,0.006951537493197,2.157919130522895,Up
PYGM,-2.0393667518479166,0.000192204457126,0.0003877188027808,3.4114831369706926,Down,-2.9486333548415646,1.945382126598634e-05,0.0002008877237675,3.697046602141391,Down
RBCK1,0.7251228297603767,0.0027121588620384,0.0044878923088329,2.347957572928531,Not Significant,0.2910041876227651,0.0048121380418718,0.01167588458691,1.932710206551088,Not Significant
RIPK1,0.9900744614116695,7.349075177589344e-05,0.0001602480158853,3.795207339003375,Not Significant,0.9283753815997612,0.0004357536586547,0.001867557260307,2.728726073606738,Not Significant
RIPK3,1.874373421420552,3.936732694006582e-05,9.052418434015592e-05,4.04323537966384,Up,0.3269753735797526,0.0301892854396719,0.053060103707503,1.2752319055117691,Not Significant
RNF31,0.4169950905517439,2.263389213977613e-05,5.475836441308952e-05,4.261549532360148,Not Significant,0.1607558114561352,0.0649134385435482,0.0999384679484977,1.000267312554162,Not Significant
SHARPIN,0.5121454752676549,3.60650419802377e-06,1.0174159420580076e-05,4.9925014616195655,Not Significant,0.3523652383410522,0.0153163301799503,0.0300750199666295,1.5217940756624595,Not Significant
SLC25A4,-1.4725259344307098,5.1376324554787794e-05,0.0001153219905447,3.9380878699679336,Down,-2.709580077232679,0.0002102967315653,0.0010877002143514,2.9634907858815183,Down
SLC25A6,0.3013234977767851,0.0299517702489981,0.0413277816036716,1.3837579061903784,Not Significant,-2.3301616933140346,1.4604395286479788e-06,3.654258426369426e-05,4.437200742922834,Down
SMPD1,0.3318505328263832,0.0136252818443592,0.019950739723848,1.7000409971186083,Not Significant,-0.6434685989940898,0.004343599130078,0.0108034703333291,1.966436716316429,Not Significant
SPATA2,-1.5803673023035962,5.311887222185572e-17,3.2629238948961858e-15,14.486393055667254,Down,-2.0783354870398867,7.299888032648069e-06,0.0001059756409091,3.9747939482681214,Down
SQSTM1,0.5551489613578902,2.2764600122336903e-05,5.499534331712757e-05,4.259674082456562,Not Significant,-0.4466812387711804,0.0053558099037964,0.012719284802331,1.8955373081163416,Not Significant
STAT1,0.8686687049311637,0.000615393207621,0.0011385621990036,2.9436432391408816,Not Significant,1.1893054019092035,0.0004258615495102,0.0018385702483835,2.7355197718856905,Up
STAT2,0.5808868493530923,0.0031573779556358,0.00516354310472,2.287052193182833,Not Significant,0.2081833733563086,0.154442571362294,0.2079949185289324,0.6819472750459016,Not Significant
STAT3,1.1957222038187645,3.69575621402462e-06,1.0382333547151148e-05,4.9837050229085,Up,0.7557135719121937,0.0044598820642914,0.0110163532053179,1.9579621482175955,Not Significant
STAT4,-4.222725400896168,8.747664357687708e-15,2.2309866009961005e-13,12.651503038022271,Down,-1.031843765070444,0.0002370776802665,0.0011864142182185,2.925763657279008,Down
STAT5A,1.5579211635263164,6.382271200550071e-07,2.1114942553149887e-06,5.675410095810655,Up,0.4463128072791582,0.0696011014128836,0.1057940806960727,0.9755386309109316,Not Significant
STAT5B,0.168618231888761,0.0073452775850879,0.0112559060529625,1.94861954038232,Not Significant,0.5553813048676772,8.889779160067302e-05,0.0005882626273181,3.2304287417282724,Not Significant
STAT6,-0.6937210791145709,0.0005495922940155,0.0010246967249004,2.989404651867963,Not Significant,-1.0295579746590937,0.0022285622768204,0.0064311352202452,2.191712358899744,Down
TLR3,1.7631174367461693,1.049741905104633e-06,3.304185406971156e-06,5.480935591204772,Up,0.4812123222056895,0.0028380025256778,0.0077375337841571,2.1113974417209684,Not Significant
TNFAIP3,2.779811962314397,9.939426614909689e-08,3.949892848859968e-07,6.403414685583675,Up,0.4007018485488407,0.1737316796323895,0.229605517177951,0.6390176805112071,Not Significant
TNFRSF10B,2.275508066797844,4.332869157034291e-06,1.203123591178706e-05,4.919689757356795,Up,-0.3847416749773641,0.0950071797209748,0.1375615153311486,0.8615030487824797,Not Significant
TNFRSF1A,2.022265706116809,1.6710502020817567e-05,4.156582650807807e-05,4.381263579427002,Up,0.2643043406096028,0.2467150878060476,0.3100395205810877,0.5085829433388702,Not Significant
TRADD,1.1158496916781768,8.692515627656425e-08,3.509755608537508e-07,6.454723123294517,Up,0.5128528929380538,0.1140055238931739,0.1604276731383057,0.7947207155116451,Not Significant
TRAF2,0.4528238708793566,0.013308157556624,0.0195289700255543,1.7093206611675391,Not Significant,-0.3331778029648891,0.032183966896144,0.0558897082786057,1.2526681572175609,Not Significant
TRAF5,0.9113229529207204,6.752235277978551e-06,1.818284367558297e-05,4.740338195039427,Not Significant,-0.107521342567568,0.5030634104645448,0.5673225394935478,0.2461699617495618,Not Significant
TYK2,0.9837190993239702,5.700679710984915e-05,0.0001267181099039,3.8971613135356296,Not Significant,0.0590821011404669,0.7437307131871885,0.7868970312630051,0.104082093155516,Not Significant
VDAC2,-0.5517900981101711,0.0064274128903838,0.009953844344001,2.0020091549391923,Not Significant,-0.9625081867511296,0.0005749552129418,0.0022959700958393,2.6390337727620965,Not Significant
VDAC3,-0.4811089337452969,0.0317493503079384,0.0436169309971596,1.3603448957928266,Not Significant,-1.2461781897357431,0.0001082810152539,0.0006777493011293,3.168930921576068,Down
VPS4A,-0.2441418085137634,0.003675574225545,0.0059472750960714,2.225681972389807,Not Significant,-0.4518605543058859,0.0010796288750263,0.003700315100477,2.4317612919947087,Not Significant
XIAP,-0.4210319236061117,0.0018311376548098,0.0031212996166759,2.5056645409714604,Not Significant,0.1163352282265114,0.3013403478192543,0.367375460347929,0.4348898567167041,Not Significant
