,log2FC_rna,pvalue_rna,adjustedpvalue_rna,-log(adjustedp)_rna,category_rna,log2FC_prot,pvalue_prot,adjustedpvalue_prot,-log(adjustedp)_prot,category_prot
BAK1,0.8913895411042976,5.772191059551227e-05,0.0003895089118554,3.4094826013408945,Not Significant,0.9683077107298244,0.0005683957128284,0.0022778280828829,2.642479057022831,Not Significant
BAX,1.5342335197910515,3.236646760969988e-05,0.000259395222514,3.58603802692159,Up,0.3729411117731548,0.0649831388372687,0.1000161898798063,0.9999296939364544,Not Significant
CASP1,2.652275248620395,1.1508483943939236e-05,0.0001254411777398,3.901559877144284,Up,1.5332561885499487,3.4190540109406374e-05,0.0002978153405847,3.526052935328886,Up
CASP3,0.6440677693576404,0.0012221629883152,0.003822437114029,2.4176596507828303,Not Significant,1.1174697965977218,7.966895857272289e-07,2.4062683561500373e-05,4.618655940131626,Up
CASP4,1.8252715636626071,0.0027064984696173,0.007171295524178,2.14440238015129,Up,0.8176952656549956,0.0049537033945605,0.0119608208383161,1.9222390148861817,Not Significant
CHMP2A,0.4287288291895201,0.0065755011200319,0.014523481316203,1.8379292696416336,Not Significant,-0.4789418755942322,0.013994723931385,0.0279438099754051,1.5537143806667728,Not Significant
CHMP4B,-0.3865331910216731,0.0114727869595862,0.0228760038813047,1.6406198384398831,Not Significant,0.0127920384226913,0.9117904533883152,0.9308382531697696,0.0311257775133912,Not Significant
CHMP6,0.8792558162593025,7.241187851612966e-06,9.198956673032664e-05,4.03626142665871,Not Significant,-0.4713021001748804,0.0035699232886191,0.0092644379742465,2.033180921956197,Not Significant
CYCS,-1.4837858626953668,3.21557516490345e-05,0.0002579116577327,3.5885290270958965,Down,-2.027432425866403,8.310324481810514e-06,0.0001159324344142,3.935795044480551,Down
GSDMD,1.0492140782601282,0.0026261270785259,0.0069932868593894,2.155318656959994,Up,0.3532768534115035,0.1147013728263505,0.161276048865255,0.7924301249731389,Not Significant
IL18,3.1287698344366124,7.738507515334444e-07,2.0050147044033114e-05,4.697882437997515,Up,1.614598624818861,0.0001855290811054,0.0009954495903232,3.001980727800059,Up
IRF2,0.6178630908009772,0.0101063746664075,0.0206305204436453,1.6854898159942575,Not Significant,0.8840362629909856,4.078110659088515e-07,1.6140324657966677e-05,4.792087733818077,Not Significant
TP53,2.8822912129847538,0.0001103199990792,0.0006146516648492,3.2113709377081867,Up,1.1727621299639537,0.0157058370971814,0.0307066225290311,1.5127679496810085,Up
