,log2FC_rna,pvalue_rna,adjustedpvalue_rna,-log(adjustedp)_rna,category_rna,log2FC_prot,pvalue_prot,adjustedpvalue_prot,-log(adjustedp)_prot,category_prot
ACTB,1.699453525601072,1.3902725473247248e-08,4.9824281898787895e-08,7.3025589519278515,Up,-0.3423371662932223,0.0017374096143771,0.0024743051957931,2.60654673289038,Not Significant
ACTG1,1.6469973605155983,1.5063216483758674e-08,5.348848884645219e-08,7.271739671593068,Up,0.2679178414234122,0.2192921870817088,0.2447579214382915,0.6112632436258763,Not Significant
AIFM1,0.5329865088806152,8.29375031222723e-08,2.5457416406269685e-07,6.594185673637384,Not Significant,-0.8362753372449563,7.860246019266757e-13,3.082792042748593e-12,11.511055770678256,Not Significant
AKT1,0.9432760302528074,2.996534612286868e-12,2.0549414352741935e-11,10.687200550770726,Not Significant,0.5556066073896037,6.9188001411629654e-12,2.4655183385609484e-11,10.608091762832212,Not Significant
AKT3,-2.1790065847057924,4.612079938871716e-11,2.569806045585933e-10,9.590099653521008,Down,-1.7177399946796617,2.907265295413616e-30,1.1867342925474634e-28,27.925646507833832,Down
APAF1,0.9828936064457549,2.0375328574443665e-07,5.786892023088397e-07,6.237554621008558,Not Significant,1.06788089988844,2.0227558175065688e-14,9.341111492646796e-14,13.029601444283497,Up
ATM,0.7196136167011637,0.0003477607127841,0.0005889948588748,3.229888495997325,Not Significant,0.9003036584390117,2.872522906668779e-25,4.571879347938122e-24,23.339905239172666,Not Significant
BAK1,1.2312638893261667,2.168103276725977e-07,6.119773720856681e-07,6.213264635632232,Up,1.008387791623617,0.0004273959254986,0.0006502140000752,3.1869436837325806,Up
BAX,2.097587743514908,4.0410138846982354e-18,7.55272242568646e-17,16.121896476008228,Up,0.5780645476091119,0.000163889148669,0.0002610838917196,3.5832199223289978,Not Significant
BCL2L1,0.3627544221962537,0.0008268320342241,0.001325299270131,2.877686041205815,Not Significant,-0.0648511246198329,0.5727242424459834,0.6005930525509008,0.2214196958737313,Not Significant
BID,0.5104364094850453,0.0007771249951912,0.0012506001919419,2.902881508999887,Not Significant,0.6684145736600289,3.5278544140344517e-10,1.0485847114701487e-09,8.979396478657918,Not Significant
BIRC2,0.6196037170477844,2.30875745181071e-08,7.913719826315448e-08,7.101619329359234,Not Significant,-0.1501473151339591,0.0015131672026361,0.0021680051496544,2.6639396905543875,Not Significant
BIRC6,0.2957889395816018,2.8114201878326138e-05,5.593965430026812e-05,4.252280221839176,Not Significant,0.1586724893614825,0.0138594838889465,0.017836717087048,1.7486850760909998,Not Significant
CAPN1,0.1934082984756351,0.0376291923359693,0.0481733998719729,1.3171927019618443,Not Significant,0.2889043196664222,1.2861152740270288e-07,2.911521071628391e-07,6.535880062413652,Not Significant
CAPN2,1.5603079978356895,1.3880251853533149e-06,3.4171470472261226e-06,5.466336332168516,Up,0.909466011165057,1.1842239029858564e-11,4.123983474800863e-11,10.384683083644868,Not Significant
CASP10,1.5253537142615574,4.4598037366573454e-05,8.570786501924094e-05,4.066979323027462,Up,0.5027304931674728,0.0180881146147187,0.0230198294442605,1.6378978984165182,Not Significant
CASP2,1.5747198021292714,4.633436878413679e-07,1.2387803373975425e-06,5.907005696621287,Up,0.8123353776395097,1.8548104649479297e-06,3.695066436295311e-06,5.432377748701614,Not Significant
CASP3,1.6036713310509612,2.766602638646148e-20,7.63582328266337e-19,18.117144131123347,Up,1.8000705352458262,6.929879276000879e-13,2.7385388528433242e-12,11.56248109316654,Up
CASP6,2.216374608390339,1.819573768699226e-05,3.718131064072211e-05,4.429675305419391,Up,1.6731082436892672,2.336811854574868e-15,1.1801976998675304e-14,13.928045236109334,Up
CASP7,1.4676831297688224,0.0011504045509974,0.0018116578781847,2.741923813085823,Up,1.491697044381,5.675037899109058e-12,2.0411703348937868e-11,10.690120752061125,Up
CASP8,3.414667430453221,5.342903153770263e-10,2.431093332027175e-09,8.614198367850898,Up,1.383228174203226,2.8953084057703302e-06,5.640513792937183e-06,5.2486813344431855,Up
CFLAR,1.67487028247308,2.0425943240498395e-05,4.14693575584e-05,4.382272692656311,Up,0.5804399506462624,0.0006034330455968,0.0009016845494714,3.044945371976062,Not Significant
