,log2FC_rna,pvalue_rna,adjustedpvalue_rna,-log(adjustedp)_rna,category_rna,log2FC_prot,pvalue_prot,adjustedpvalue_prot,-log(adjustedp)_prot,category_prot
AKT1,0.8799723391974368,2.8838297981730844e-11,2.607872655906252e-10,9.583713619300347,Not Significant,0.5556066073896037,6.9188001411629654e-12,2.4655183385609484e-11,10.608091762832212,Not Significant
AKT1S1,0.5559533012135116,0.0005533160101292,0.0010305242163139,2.986941798268117,Not Significant,0.219165568883827,0.0285517333433124,0.035519898693742,1.4495282815424109,Not Significant
AKT3,-1.462356358216475,4.817266490639495e-09,2.5772247810250813e-08,7.588847701394174,Down,-1.7177399946796617,2.907265295413616e-30,1.1867342925474634e-28,27.925646507833832,Down
ATG13,-0.4569469530774839,0.0025360426111725,0.0042137709491921,2.375329075326282,Not Significant,-0.6516264474630863,3.771097409288341e-12,1.3841097649253291e-11,10.858829467385682,Not Significant
ATG14,0.2542486744708085,0.0175969463776784,0.0252523700582239,1.5976978549748488,Not Significant,-0.863896951270618,1.410033530558497e-11,4.8583379740428315e-11,10.313512276448083,Not Significant
ATG16L1,-0.2487670398300068,0.0031334741226322,0.0051261153477423,2.290211625556304,Not Significant,-0.6152623897118632,3.461968023254822e-07,7.47316987848599e-07,6.126495145343121,Not Significant
ATG2A,-0.3341209836951719,0.0094998983124662,0.0142732252945241,1.8454778790687785,Not Significant,-0.59921962727321,1.212709941359399e-09,3.395131194085525e-09,8.469143439125293,Not Significant
ATG2B,-0.6911284597566762,2.211436748548485e-06,6.515944371125312e-06,5.186022632070165,Not Significant,-1.2748890089853937,1.4751357907093557e-22,1.6404581672535988e-21,20.78503483992748,Down
ATG3,0.5746875822460531,7.041214107257238e-05,0.0001542408647839,3.8118005484708704,Not Significant,0.0883983895422781,0.0345913028697037,0.0427270525181851,1.369297065508079,Not Significant
ATG4A,0.8985392936757854,1.862118736369296e-05,4.585203107957536e-05,4.338641421888944,Not Significant,0.9023619655870974,9.333291826264682e-10,2.6507567426900158e-09,8.576630125210981,Not Significant
ATG4C,-0.369644950464373,0.0116073158595787,0.0171908409246393,1.7647028784032364,Not Significant,-0.4422780122370757,9.543487159905309e-05,0.0001558734628078,3.8072278164154207,Not Significant
ATG5,-0.5086188749719973,0.002394329106958,0.0039987518938155,2.398075541225196,Not Significant,-0.5681777663613062,5.749785368676739e-13,2.280850453603513e-12,11.641903188771533,Not Significant
ATG9A,-0.5249420197762937,8.877563447618082e-08,3.577302966852182e-07,6.446444277278978,Not Significant,-0.5184939435334182,1.2285935001538755e-09,3.436826052970086e-09,8.463842448120834,Not Significant
BNIP3,-0.7078990680297608,0.0003157426216525,0.0006140523495227,3.211794602572676,Not Significant,-1.596786115651168,1.0444398833978014e-12,4.036975397804572e-12,11.393943897265505,Down
C9orf72,-0.7364297408316283,0.0004996489192566,0.0009383786749796,3.02762187029138,Not Significant,-1.545379580514804,1.8322791255863435e-19,1.4498226754532329e-18,17.838685112097096,Down
CAMKK2,-2.584479002457016,4.9954808089275036e-09,2.6654911901025253e-08,7.574222748553079,Down,-2.79768790023878,2.491858602873396e-33,2.9813512870470318e-31,30.525586848845705,Down
CFLAR,1.0052225138850197,0.0009813729408227,0.0017532099673432,2.7561660689615697,Up,0.5804399506462624,0.0006034330455968,0.0009016845494714,3.044945371976062,Not Significant
CTSB,1.1763449710547569,1.9167382123297505e-07,7.096369257997025e-07,6.1489637941715225,Up,0.8301849354743569,1.0121577245139252e-05,1.8561574620270343e-05,4.73138518437322,Not Significant
CTSD,0.8108762274434973,3.857476767619496e-05,8.890464643559552e-05,4.051075540845227,Not Significant,-0.6981594891123555,1.443147942392282e-06,2.9078062199692727e-06,5.536434538804119,Not Significant
CTSL,1.576467299159372,6.790607510903551e-08,2.822136141288877e-07,6.549422039488696,Up,0.70638978137162,6.85821104168432e-10,1.9742012923919274e-09,8.70460856812121,Not Significant
DAPK1,-1.2574607105583129,1.0085656963696332e-08,5.0174275680136713e-08,7.299518888305156,Down,-0.7863497442395978,2.1861723486414518e-10,6.657655932419214e-10,9.17667865293316,Not Significant
DAPK3,0.5757333787781853,1.8901180514048785e-05,4.643025908279138e-05,4.333198892945656,Not Significant,-0.3693823695986793,1.7790294400180494e-05,3.169790729398815e-05,4.498969409096881,Not Significant
DEPTOR,-1.1397317780986391,3.433899196692753e-05,7.989168708425589e-05,4.097498407685475,Down,-0.5692060523023366,2.446157923457783e-06,4.801444055303049e-06,5.318628127013604,Not Significant
EIF2AK3,0.8216997254482621,8.151295975606228e-12,8.430816802695804e-11,10.074130347591243,Not Significant,0.3665720008065733,0.0004387692886469,0.0006663480486615,3.1762988697331687,Not Significant
GABARAP,0.4211939921624328,0.000126811997,0.0002638925961121,3.5785727943678585,Not Significant,0.320457020534411,0.0020474518927014,0.0028874037056129,2.539492490500064,Not Significant
GABARAPL2,-0.621033222214912,0.0004068800207977,0.0007766027528451,3.1098010743316133,Not Significant,-2.5893850718597657,2.244204573902342e-11,7.554956471458433e-11,10.121768033543336,Down
HMGB1,0.3882126582543321,0.0062266890206795,0.0096712403938214,2.014517821506959,Not Significant,0.6289335475966347,5.334265457088374e-07,1.1308354222760283e-06,5.946600596133992,Not Significant
IGF1R,-0.9794656550669316,7.678448371117903e-06,2.0431243764036383e-05,4.689705194629609,Not Significant,-0.6113523501427284,9.295590453613584e-07,1.9186555826227204e-06,5.7170029783604255,Not Significant
IRS1,-0.7999888365598782,1.3351204692354158e-05,3.387057065494228e-05,4.470177486254551,Not Significant,-0.8651197774040456,4.768535039749988e-13,1.904669272016793e-12,11.72018042461182,Not Significant
IRS2,-0.5332669780200838,0.0093027645031195,0.0140020991490253,1.8538068514289563,Not Significant,-0.0382422828232168,0.5619753785815238,0.5903917759038233,0.2288597008199481,Not Significant
ITPR1,-2.7948552782701093,1.675230451514822e-14,3.924714318269842e-13,12.406191950259986,Down,-1.9865849069033736,3.294552681304778e-28,8.513463194061441e-27,26.06989373719937,Down
KRAS,-1.0629845926628754,2.9745741153297925e-05,7.024345906664868e-05,4.153394110191803,Down,-1.6810246898159034,9.58835194294244e-15,4.5698331215241696e-14,13.340099658950823,Down
LAMP1,0.8457408740344441,1.5542817796339186e-06,4.729034928430111e-06,5.32522747829406,Not Significant,0.4255173756182549,0.0035426335963501,0.0048641700441114,2.312991251184245,Not Significant
MAP2K1,-1.321083860492024,2.191604124569156e-05,5.311094527522174e-05,4.274815968884773,Down,-2.018744562558237,1.407321242131433e-29,4.882935603115362e-28,27.311319003218657,Down
MAP3K7,0.2824402415695459,0.0002915100456031,0.0005704491451838,3.243783066321108,Not Significant,-0.3187745365247703,1.535587717482047e-06,3.08570126472406e-06,5.510646121488,Not Significant
MAPK1,-0.5727676784350777,0.0001470737068636,0.0003028660104139,3.5187494632731533,Not Significant,-0.7226011225050435,1.6434749727982355e-09,4.547296914369175e-09,8.342246687742941,Not Significant
MAPK10,-2.050018530382541,4.317496374399185e-09,2.3283971346733082e-08,7.632942943829837,Down,-2.7809099615495967,2.9147194542006733e-27,6.268453470821242e-26,25.202839593449188,Down
MAPK3,-0.9643621422595636,4.1958618103586135e-11,3.62513823992733e-10,9.440675427522535,Not Significant,-0.9876702496477044,7.539892253255176e-10,2.162654683497744e-09,8.665012819915402,Not Significant
MAPK8,-0.9234377037660336,1.8653468794657125e-05,4.591132290187537e-05,4.338080193169349,Not Significant,-1.483215854205772,1.6051725734251858e-14,7.498081671822186e-14,13.12504983339586,Down
