,log2FC_rna,pvalue_rna,adjustedpvalue_rna,-log(adjustedp)_rna,category_rna,log2FC_prot,pvalue_prot,adjustedpvalue_prot,-log(adjustedp)_prot,category_prot
ACSL1,0.6365776141064927,0.0075674361802357,0.0115804879355453,1.9362731415368613,Not Significant,0.1290284288288898,0.1937422688545393,0.217547279019083,0.6624463442921454,Not Significant
ACSL3,-0.9750851455826036,2.95663573453234e-05,6.985259941294274e-05,4.15581742792214,Not Significant,-0.2824571362398864,0.0056057069077127,0.0075367867737511,2.1228137713532846,Not Significant
ACSL4,-0.901033373537622,0.0005008422056191,0.0009404444323219,3.026666860346356,Not Significant,-0.3467638630632744,0.0001278070255087,0.0002053315833494,3.687544243910433,Not Significant
ACSL6,-2.612841327286091,7.736573819491269e-17,4.407610103648117e-15,14.355796830064474,Down,-2.6790476388397484,1.2165466896984552e-22,1.3660231384111348e-21,20.86454194428613,Down
ATG5,-0.5086188749719973,0.002394329106958,0.0039987518938155,2.398075541225196,Not Significant,-0.5681777663613062,5.749785368676739e-13,2.280850453603513e-12,11.641903188771533,Not Significant
CP,2.135044189469859,0.027138142762271,0.0376933200313136,1.4237356081652175,Up,2.457354175341529,2.1076411971026302e-20,1.8576153446775004e-19,18.73104421013713,Up
CYBB,2.899141799944992,2.691374149415583e-08,1.2218523290316622e-07,6.912981279005096,Up,2.002265917900159,1.5997790235062943e-16,9.230654021993912e-16,15.03476752670104,Up
FTL,1.3285688954757582,2.463764458631528e-06,7.194192219204062e-06,5.143017962594183,Up,0.0456310188886634,0.8581660768639947,0.8715631470462797,0.0597011416346096,Not Significant
GCLM,-0.3991402940578723,0.0045636238105355,0.0072559889942132,2.139303384679505,Not Significant,0.4549074907605829,7.851470450354109e-05,0.0001293336855795,3.888288346302833,Not Significant
GSS,0.625255717060849,0.0002327680886389,0.0004628712445614,3.334539798513324,Not Significant,0.0290124954839936,0.613245009419274,0.6398624000646774,0.1939134093248936,Not Significant
HMOX1,4.240870413381924,1.1747443017972064e-09,7.275000357544039e-09,8.138166980997807,Up,1.3203269521010084,2.2729926857700777e-05,3.999929140520835e-05,4.397947702210381,Up
LPCAT3,1.303165413458597,4.772766811342966e-07,1.6271016195420995e-06,5.788585322645061,Up,1.5970520696844688,1.3210481223879393e-15,6.858249329643919e-15,14.163786730285494,Up
MAP1LC3A,-1.1251883129210292,3.388127517315495e-05,7.899096646479125e-05,4.102422572492055,Down,-1.7239818611992108,3.7265205849764456e-22,3.916842567474449e-21,20.40706388401792,Down
MAP1LC3B,-0.7805146164560384,5.3136389276150115e-09,2.8129058621541585e-08,7.550844801866471,Not Significant,-0.7374041185148004,9.584637313837568e-12,3.3648057268038867e-11,10.473040005500238,Not Significant
PCBP1,-0.2674336912204254,0.0140285034861379,0.0204964676025168,1.6883209795745884,Not Significant,0.2560553752618272,0.0002634682351769,0.0004100539563333,3.3871589935337862,Not Significant
PCBP2,0.2479257766897475,0.0287459358088716,0.0398002415253673,1.400114292428423,Not Significant,-0.0571657877419815,0.4279600053520548,0.4578248402579176,0.3393006474537982,Not Significant
PRNP,-1.6208434440001227,2.0436540658546125e-08,9.491826214577857e-08,7.022650221860176,Down,-3.2005466569838674,2.210125734690592e-30,9.467159988639655e-29,28.02378028353581,Down
SLC39A14,0.5931714896106328,0.0167402475307963,0.0240812871091307,1.6183203043970047,Not Significant,0.7801865612889651,6.302718364441732e-06,1.185489617916046e-05,4.926102245061175,Not Significant
SLC3A2,1.1711727573112576,2.9378917399477088e-08,1.322270121449672e-07,6.878679815446758,Up,-1.7473455830568243,2.123087773224002e-11,7.163442668229703e-11,10.144878210585157,Down
STEAP3,3.761018745957415,1.1969262419553429e-12,1.576187576661193e-11,10.8023920998786,Up,1.3473356649865984,1.3910274332380246e-13,5.905058952926018e-13,12.228775762266782,Up
TP53,2.5104637547572715,1.2999299020853764e-06,4.019488592267674e-06,5.395829199573432,Up,0.4040306960082714,0.0030565453677246,0.0042229334659736,2.374385761006572,Not Significant
VDAC2,-0.5517900981101711,0.0064274128903838,0.009953844344001,2.0020091549391923,Not Significant,-1.829152795111136,5.558188827694328e-18,3.739831125240483e-17,16.4271480082359,Down
VDAC3,-0.4811089337452969,0.0317493503079384,0.0436169309971596,1.3603448957928266,Not Significant,-1.5906270491776269,1.5183143784283597e-10,4.703611418172853e-10,9.327568564039485,Down
