,log2FC_rna,pvalue_rna,adjustedpvalue_rna,-log(adjustedp)_rna,category_rna,log2FC_prot,pvalue_prot,adjustedpvalue_prot,-log(adjustedp)_prot,category_prot
AIFM1,0.5329865088806152,8.29375031222723e-08,2.5457416406269685e-07,6.594185673637384,Not Significant,-0.8362753372449563,7.860246019266757e-13,3.082792042748593e-12,11.511055770678256,Not Significant
BAX,2.097587743514908,4.0410138846982354e-18,7.55272242568646e-17,16.121896476008228,Up,0.5780645476091119,0.000163889148669,0.0002610838917196,3.5832199223289978,Not Significant
BID,0.5104364094850453,0.0007771249951912,0.0012506001919419,2.902881508999887,Not Significant,0.6684145736600289,3.5278544140344517e-10,1.0485847114701487e-09,8.979396478657918,Not Significant
BIRC2,0.6196037170477844,2.30875745181071e-08,7.913719826315448e-08,7.101619329359234,Not Significant,-0.1501473151339591,0.0015131672026361,0.0021680051496544,2.6639396905543875,Not Significant
CAMK2A,-7.429918237917301,5.974603363689173e-26,6.762713964697163e-24,23.169878981076906,Down,-4.832619844672432,4.5572409464137836e-29,1.4288048497355744e-27,26.84502708434451,Down
CAMK2B,-4.1833898132562375,3.6450779823665233e-22,1.639308731891087e-20,19.78533924781439,Down,-3.812823568110536,3.158481823564757e-32,2.267354296654176e-30,29.644480611739628,Down
CAMK2D,0.611701297652786,0.0024825748041227,0.0037439309246605,2.426672172571616,Not Significant,-0.2307724705595132,0.0223160569300441,0.0281526889570754,1.5504801179192789,Not Significant
CAMK2G,-2.828912841880168,1.9254631519000927e-20,5.510544259159529e-19,18.25880550512705,Down,-3.105626560925721,7.691203243795281e-24,9.977479266972297e-23,22.00097916599935,Down
CAPN1,0.1934082984756351,0.0376291923359693,0.0481733998719729,1.3171927019618443,Not Significant,0.2889043196664222,1.2861152740270288e-07,2.911521071628391e-07,6.535880062413652,Not Significant
CAPN2,1.5603079978356895,1.3880251853533149e-06,3.4171470472261226e-06,5.466336332168516,Up,0.909466011165057,1.1842239029858564e-11,4.123983474800863e-11,10.384683083644868,Not Significant
CASP1,3.3209758680097785,3.554462820200346e-08,1.1751775008433965e-07,6.929896531847732,Up,1.7833230183015734,1.2685139974859237e-14,5.990908439124764e-14,13.22250731781353,Up
CASP8,3.414667430453221,5.342903153770263e-10,2.431093332027175e-09,8.614198367850898,Up,1.383228174203226,2.8953084057703302e-06,5.640513792937183e-06,5.2486813344431855,Up
CFLAR,1.67487028247308,2.0425943240498395e-05,4.14693575584e-05,4.382272692656311,Up,0.5804399506462624,0.0006034330455968,0.0009016845494714,3.044945371976062,Not Significant
CHMP1A,0.469005740441677,1.97243141235369e-12,1.3973469794691332e-11,10.854695739513645,Not Significant,0.1534439352206683,0.023892627922685,0.0300432911388292,1.522252493600588,Not Significant
CHMP2A,1.0226144177956051,1.4087857793824405e-07,4.129213832266136e-07,6.384132626505621,Up,-0.106483194656835,0.3805507657240581,0.4098875124608569,0.3873353125982423,Not Significant
CHMP3,-0.9047366164891136,0.0005206909919981,0.0008592041037492,3.065903657352862,Not Significant,-0.4234327036971441,4.0872537347788476e-10,1.2082994639395915e-09,8.917825417189444,Not Significant
CHMP4A,-0.6073698724755214,3.4258915831538546e-05,6.722327972086469e-05,4.172480302786998,Not Significant,0.9127155065155698,7.85049474561134e-08,1.8240133885506348e-07,6.738971978204795,Not Significant
CHMP6,0.7629053352771891,5.072704380115285e-06,1.1325891827411654e-05,4.94592759059776,Not Significant,-0.862642920645833,1.9435853863672466e-07,4.310841740186804e-07,6.365437920691739,Not Significant
CYBB,3.8355176338413592,1.4126625608474518e-08,5.057271726360068e-08,7.296083711171015,Up,2.002265917900159,1.5997790235062943e-16,9.230654021993912e-16,15.03476752670104,Up
CYLD,-0.4128160825573026,0.0017004491787144,0.0026197163215124,2.581745734127572,Not Significant,-1.4452457717392326,7.403948386396542e-35,1.9059283943252628e-32,31.71989341982234,Down
DNM1L,-1.090338235967856,0.0001986473386696,0.0003491230442704,3.457021484129964,Down,-2.127326308670925,5.94853455665765e-38,1.4752627218879543e-34,33.831130631546166,Down
EIF2AK2,-0.1740999291845852,0.0196368116318621,0.0261184632135436,1.5830523801348126,Not Significant,0.1605795567621193,0.0075207018438851,0.0099838012361944,2.000704073783768,Not Significant
FADD,1.4999640145523294,7.2083058393019476e-12,4.634108042445937e-11,10.334033845019263,Up,0.1728373108430609,0.1797590408138817,0.2026767608136584,0.6931960452339191,Not Significant
FAF1,-0.3639004866192366,0.0013397093373121,0.0020911422163127,2.679616430281536,Not Significant,-0.7423144798176557,6.8395526777066614e-15,3.2990224199373793e-14,13.481614733008156,Not Significant
FAS,2.0558700946140505,1.1884887104020542e-08,4.3052266337973e-08,7.366003981674464,Up,0.8645443949624636,0.0002825497990823,0.0004385061664899,3.3580242949917936,Not Significant
FTH1,0.8540495312397063,2.909959383757312e-06,6.778018689473101e-06,5.168897237988483,Not Significant,-0.3945648209063758,0.0112884803109491,0.0146895601396011,1.832991208416964,Not Significant
FTL,1.869179745919048,2.4410380355045093e-08,8.333113239468798e-08,7.079192716465204,Up,0.0456310188886634,0.8581660768639947,0.8715631470462797,0.0597011416346096,Not Significant
GLUD1,-1.2746325290448297,1.6839324014611507e-08,5.916963729445285e-08,7.227901092908225,Down,-2.144586290945718,1.5932456612953678e-23,1.9766500701339072e-22,21.704070207803724,Down
GLUD2,-2.249517519680687,3.0058970744399556e-10,1.430252473600564e-09,8.844587292455742,Down,-1.2744010608553809,2.243580388819057e-09,6.107068061510871e-09,8.214167239890513,Down
HSP90AA1,-0.6732858732284086,3.0255466374964703e-06,7.027751170426433e-06,5.153183623844903,Not Significant,-0.6191333781351106,2.1456695084021164e-12,8.048386995660407e-12,11.094291149331008,Not Significant
HSP90AB1,-0.6513965560066595,0.0006794516456352,0.0011011576380517,2.958150504429295,Not Significant,-0.1070368654394923,0.0871109325973815,0.1023290483473811,0.99000106476088,Not Significant
IFNGR1,1.4343577815144606,1.1116551407630158e-08,4.0458142659127975e-08,7.392994058574774,Up,0.0421326549253004,0.7864368811574683,0.803890945297858,0.0948028630273467,Not Significant
IL33,1.1005261315180803,0.0020028229457519,0.0030556471839323,2.514896792412109,Up,0.3778752045271343,0.0245485249995954,0.0308010603568935,1.5114343322261494,Not Significant
IRF9,1.692118551865832,0.0002323367065766,0.0004046611310603,3.392908508918812,Up,0.5368201601161835,7.053685267338229e-06,1.3193496845952134e-05,4.879640082419672,Not Significant
JAK1,0.3964183593808315,1.754581772892399e-06,4.237750366846806e-06,5.372864629856005,Not Significant,-0.3454357729608728,8.875328247159494e-05,0.000145485498779,3.837180292685661,Not Significant
JAK3,0.996147455102733,0.0004024155406644,0.0006745314736528,3.1709977813295542,Not Significant,-0.4663044671187851,0.00864113391539,0.0113840732724078,1.9437023176233488,Not Significant
MAPK10,-2.6184050326975274,1.102762978725304e-10,5.723459169334732e-10,9.242341411053168,Down,-2.7809099615495967,2.9147194542006733e-27,6.268453470821242e-26,25.202839593449188,Down
MAPK8,-1.6568167789460837,1.3923451463388544e-07,4.0857806595448923e-07,6.388724951679632,Down,-1.483215854205772,1.6051725734251858e-14,7.498081671822186e-14,13.12504983339586,Down
MAPK9,-2.072609779819164,2.906191317740519e-07,8.018891080503421e-07,6.095885685446059,Down,-0.7622374549885358,2.566212674115553e-12,9.543303938859877e-12,11.020301244372943,Not Significant
MLKL,1.963168480010271,0.0006586383680417,0.0010694911218008,2.9708228162994788,Up,1.192447397144579,1.3931168398435861e-08,3.5136789885950784e-08,7.454237918381428,Up
PARP1,0.4821208201542539,1.2589885515294468e-06,3.1177607345397363e-06,5.506157216811139,Not Significant,0.8298329561961156,3.424407553282861e-14,1.53508433342469e-13,12.813867760554931,Not Significant
PGAM5,-0.2197277285290262,0.0316905379912472,0.0409873513575329,1.387350145308129,Not Significant,-1.0258784170366164,9.970176080395497e-20,8.120466574400369e-19,18.090419016957576,Down
PLA2G4A,1.456409174091167,1.3860829750073962e-08,4.969181455595912e-08,7.303715144183192,Up,1.0511815821522337,9.963546789518508e-09,2.555706223067968e-08,7.592489069540696,Up
PLA2G4C,-0.5583241868320492,0.0038561318500754,0.0056644316502857,2.246843659238777,Not Significant,-0.5936770792534345,0.0004877308695945,0.000737048580373,3.1325038859637484,Not Significant
PPID,-0.6912031937594314,6.74607159702413e-05,0.0001263195636959,3.898529383037512,Not Significant,-0.4602897660780763,0.0418820457824932,0.0512159556567166,1.290594719216258,Not Significant
PYCARD,3.740105221792211,5.28315772472015e-08,1.688532072297931e-07,6.772490685878597,Up,0.97433985671109,0.0011787486302561,0.0017069552716104,2.7677778588192283,Not Significant
PYGL,3.654503487934166,4.1264077640211966e-10,1.9156420191128816e-09,8.717685645387668,Up,2.2055890700872345,7.103218595646281e-25,1.0653804374939788e-23,22.97249528198935,Up
PYGM,-1.9149066205371683,0.0004375409374185,0.0007297661264163,3.1368162991679576,Down,-2.496860957451738,2.766969350927547e-13,1.1299091398118806e-12,11.94695647834388,Down
RBCK1,1.0703430312806503,0.0001579401440915,0.0002817083944012,3.5502002116303486,Up,0.509213955507547,8.923572665933016e-06,1.6504169843585068e-05,4.782406315709151,Not Significant
RIPK1,1.4144882636983451,4.640155521379282e-06,1.042482754736282e-05,4.981931120608228,Up,1.4845430999276736,1.5977810489564941e-18,1.1438310136580568e-17,16.941638132235965,Up
RIPK3,2.8090582268491584,1.1880607986449612e-06,2.9522754034408827e-06,5.529843131735257,Up,0.6388101848613388,0.0001547946193984,0.0002473529618234,3.606682884993003,Not Significant
RNF31,0.5148799165336087,9.800758652889817e-08,2.961393001476065e-07,6.528503954297052,Not Significant,0.1299488552021599,0.0394964936665729,0.0484467361036245,1.3147354764033727,Not Significant
SHARPIN,0.6753031846353608,7.633959793898106e-08,2.361932154905698e-07,6.626732581393653,Not Significant,0.5150551979317166,2.1045997831643987e-10,6.423188895604553e-10,9.192249305899267,Not Significant
SLC25A4,-1.841618704780238,4.549927756661168e-06,1.0238099669556536e-05,4.989780646838155,Down,-3.440465960261,1.261737665302106e-20,1.1361096330561956e-19,18.94457975776763,Down
SLC25A5,0.4582467681689728,0.0097017902282646,0.0134455681331046,1.871420842242507,Not Significant,-1.6925197336325617,3.701711943734903e-09,9.872180277308893e-09,8.005586922524206,Down
