,log2FC_rna,pvalue_rna,adjustedpvalue_rna,-log(adjustedp)_rna,category_rna,log2FC_prot,pvalue_prot,adjustedpvalue_prot,-log(adjustedp)_prot,category_prot
BAK1,1.2312638893261667,2.168103276725977e-07,6.119773720856681e-07,6.213264635632232,Up,1.008387791623617,0.0004273959254986,0.0006502140000752,3.1869436837325806,Up
BAX,2.097587743514908,4.0410138846982354e-18,7.55272242568646e-17,16.121896476008228,Up,0.5780645476091119,0.000163889148669,0.0002610838917196,3.5832199223289978,Not Significant
CASP1,3.3209758680097785,3.554462820200346e-08,1.1751775008433965e-07,6.929896531847732,Up,1.7833230183015734,1.2685139974859237e-14,5.990908439124764e-14,13.22250731781353,Up
CASP3,1.6036713310509612,2.766602638646148e-20,7.63582328266337e-19,18.117144131123347,Up,1.8000705352458262,6.929879276000879e-13,2.7385388528433242e-12,11.56248109316654,Up
CASP4,3.547498606037109,3.9355626584072745e-06,8.945590753789459e-06,5.048390973974274,Up,1.8126711121900287,5.0059811906168495e-18,3.387988180307594e-17,16.47005811346416,Up
CHMP2A,1.0226144177956051,1.4087857793824405e-07,4.129213832266136e-07,6.384132626505621,Up,-0.106483194656835,0.3805507657240581,0.4098875124608569,0.3873353125982423,Not Significant
CHMP6,0.7629053352771891,5.072704380115285e-06,1.1325891827411654e-05,4.94592759059776,Not Significant,-0.862642920645833,1.9435853863672466e-07,4.310841740186804e-07,6.365437920691739,Not Significant
CYCS,-0.9989189792882948,0.0002711406214979,0.0004679579614476,3.3297931595996744,Not Significant,-1.9596613176012632,9.461528885647757e-20,7.736453587643951e-19,18.111458075528475,Down
GSDMD,2.690397806313605,1.0490144591374443e-06,2.6327283660564564e-06,5.579593947277658,Up,1.3291662116272611,2.242746124940211e-20,1.9683595627742546e-19,18.705895565525985,Up
IL18,3.623371124027843,9.37951441598945e-08,2.8494942167273134e-07,6.545232220124074,Up,2.14887850023146,9.315453628904828e-11,2.9463554185132287e-10,9.5307148654402,Up
IRF2,0.9480191914128824,4.434211865995e-05,8.524856934739243e-05,4.069312900660937,Not Significant,1.0430115702676883,5.939233022589491e-10,1.7206088653530195e-09,8.764317843748467,Up
TP53,2.7417812041469745,1.7064466216589564e-06,4.137363000383232e-06,5.3832763736784965,Up,0.4040306960082714,0.0030565453677246,0.0042229334659736,2.374385761006572,Not Significant
