,log2FC_rna,pvalue_rna,adjustedpvalue_rna,-log(adjustedp)_rna,category_rna,log2FC_prot,pvalue_prot,adjustedpvalue_prot,-log(adjustedp)_prot,category_prot
ACTB,1.263161753346271,2.465781761604184e-07,8.903328124157901e-07,6.050447620796022,Up,-0.5071448512653648,4.91905675053692e-05,9.622714098165532e-05,4.01670241739965,Not Significant
ACTG1,1.224014571056852,2.296305279033317e-07,8.351256094217197e-07,6.07824819831755,Up,-0.2076820881747925,0.2856733894609908,0.3236015138643436,0.4899894553496511,Not Significant
AIFM1,0.4200311410027524,2.286940510396339e-05,5.51955886481378e-05,4.258095630646308,Not Significant,-0.928261700861198,3.485387973217383e-13,2.008826324098545e-12,11.697057609168176,Not Significant
AKT1,0.8799723391974368,2.8838297981730844e-11,2.607872655906252e-10,9.583713619300347,Not Significant,0.412662260778925,7.252967699908247e-08,2.0824715244540282e-07,6.681420928387938,Not Significant
AKT3,-1.462356358216475,4.817266490639495e-09,2.5772247810250813e-08,7.588847701394174,Down,-1.2769432594351828,3.1978537513436853e-20,8.020833662105162e-19,18.095780490065472,Down
APAF1,0.9923328046864182,3.1923590812604886e-08,1.421114687786927e-07,6.847370871922552,Not Significant,0.9397346674359428,2.2833234535681443e-13,1.3496373553771041e-12,11.8697829098131,Not Significant
ATM,0.6484578981676989,0.0007081597052661,0.0012968552755591,2.8871084869328865,Not Significant,0.6964326869683222,6.288075622307354e-14,4.015495653533573e-13,12.396260839847638,Not Significant
BAK1,0.9237226317640844,8.690375677826177e-06,2.286415371596263e-05,4.640844868776603,Not Significant,0.8040121184919649,0.0020347767460378,0.0031749349646991,2.4982651663599063,Not Significant
BAX,1.7102341918159496,3.206451470626163e-17,2.158103661351739e-15,14.665927698452084,Up,0.404467069657017,0.0030007726342153,0.004571873880203,2.339905758567076,Not Significant
BID,0.4413446288971308,0.0015350238333231,0.0026483696004277,2.577021405854256,Not Significant,0.5604868316774557,1.94522021992586e-08,5.974563962587276e-08,7.223693785032939,Not Significant
BIRC2,0.3722531967317586,1.4247802897385278e-05,3.5847244352712114e-05,4.445544223773273,Not Significant,-0.1502754636034645,0.0012578093073775,0.0020182730199618,2.695020085352463,Not Significant
BIRC6,0.3151259559958532,1.271874351503639e-05,3.238024315655208e-05,4.489719894274668,Not Significant,0.0201554108206346,0.7312301668110233,0.7609092078712327,0.1186671604079641,Not Significant
