,log2FC_rna,pvalue_rna,adjustedpvalue_rna,-log(adjustedp)_rna,category_rna,log2FC_prot,pvalue_prot,adjustedpvalue_prot,-log(adjustedp)_prot,category_prot
AKT1,0.8799723391974368,2.8838297981730844e-11,2.607872655906252e-10,9.583713619300347,Not Significant,0.412662260778925,7.252967699908247e-08,2.0824715244540282e-07,6.681420928387938,Not Significant
AKT1S1,0.5559533012135116,0.0005533160101292,0.0010305242163139,2.986941798268117,Not Significant,0.0671492717915851,0.473039399518433,0.5139199571639045,0.2891045169366082,Not Significant
AKT3,-1.462356358216475,4.817266490639495e-09,2.5772247810250813e-08,7.588847701394174,Down,-1.2769432594351828,3.1978537513436853e-20,8.020833662105162e-19,18.095780490065472,Down
ATG13,-0.4569469530774839,0.0025360426111725,0.0042137709491921,2.375329075326282,Not Significant,-0.7193194935370747,3.980293122572204e-13,2.277672958375705e-12,11.642508634325932,Not Significant
ATG14,0.2542486744708085,0.0175969463776784,0.0252523700582239,1.5976978549748488,Not Significant,-0.907501748310592,9.706384740486051e-12,4.6774888316536715e-11,10.329987240782945,Not Significant
ATG16L1,-0.2487670398300068,0.0031334741226322,0.0051261153477423,2.290211625556304,Not Significant,-0.6826236731173628,1.7470625801294156e-07,4.759270975285812e-07,6.322459567375843,Not Significant
ATG2A,-0.3341209836951719,0.0094998983124662,0.0142732252945241,1.8454778790687785,Not Significant,-0.6061115126079152,1.293172489035699e-09,4.706514838591815e-09,8.327300567740133,Not Significant
ATG2B,-0.6911284597566762,2.211436748548485e-06,6.515944371125312e-06,5.186022632070165,Not Significant,-1.1073057850057546,5.365646711744962e-20,1.238381743293865e-18,17.907145459152442,Down
ATG3,0.5746875822460531,7.041214107257238e-05,0.0001542408647839,3.8118005484708704,Not Significant,0.0136060203267838,0.7604309000848537,0.7883790078668569,0.1032649481786956,Not Significant
ATG4A,0.8985392936757854,1.862118736369296e-05,4.585203107957536e-05,4.338641421888944,Not Significant,0.6217524164784297,9.135485208477288e-07,2.268939764615607e-06,5.644177033529916,Not Significant
