,log2FC_rna,pvalue_rna,adjustedpvalue_rna,-log(adjustedp)_rna,category_rna,log2FC_prot,pvalue_prot,adjustedpvalue_prot,-log(adjustedp)_prot,category_prot
ACSL1,0.6365776141064927,0.0075674361802357,0.0115804879355453,1.9362731415368613,Not Significant,-0.1396734011034458,0.1453376841000565,0.1732501092301293,0.7613264829035874,Not Significant
ACSL3,-0.9750851455826036,2.95663573453234e-05,6.985259941294274e-05,4.15581742792214,Not Significant,-0.396069711985386,2.8428832095303416e-05,5.749285278414868e-05,4.240386141211824,Not Significant
ACSL4,-0.901033373537622,0.0005008422056191,0.0009404444323219,3.026666860346356,Not Significant,-0.6141545666451411,3.7250357388097804e-09,1.2658797585788772e-08,7.897607544449561,Not Significant
ACSL6,-2.612841327286091,7.736573819491269e-17,4.407610103648117e-15,14.355796830064474,Down,-1.998664404980876,1.0497370916620932e-16,1.064981811609233e-15,14.972657809300546,Down
ATG5,-0.5086188749719973,0.002394329106958,0.0039987518938155,2.398075541225196,Not Significant,-0.65364191591601,6.774066244142647e-15,5.098427732124426e-14,13.292563732242796,Not Significant
CP,2.135044189469859,0.027138142762271,0.0376933200313136,1.4237356081652175,Up,1.947600762493536,2.8814712375335195e-15,2.3036278119421203e-14,13.637587686827285,Up
CYBB,2.899141799944992,2.691374149415583e-08,1.2218523290316622e-07,6.912981279005096,Up,1.3200388331076882,1.1704144879710846e-10,4.908478809545133e-10,9.309053079563457,Up
FTL,1.3285688954757582,2.463764458631528e-06,7.194192219204062e-06,5.143017962594183,Up,-0.0039965532005782,0.9876680931773838,0.9894223023164056,0.0046183045400753,Not Significant
GCLM,-0.3991402940578723,0.0045636238105355,0.0072559889942132,2.139303384679505,Not Significant,0.1858427680370212,0.0487673037082636,0.062607161359067,1.2033759869039249,Not Significant
GSS,0.625255717060849,0.0002327680886389,0.0004628712445614,3.334539798513324,Not Significant,-0.2349481128330005,0.000438152508813,0.0007512319987209,3.124225921577961,Not Significant
HMOX1,4.240870413381924,1.1747443017972064e-09,7.275000357544039e-09,8.138166980997807,Up,0.7684334356961399,0.0030052399642408,0.0045780100669958,2.3393232566514426,Not Significant
LPCAT3,1.303165413458597,4.772766811342966e-07,1.6271016195420995e-06,5.788585322645061,Up,1.1698998733826056,5.0641653868968456e-12,2.533056103421877e-11,10.596355191126662,Up
MAP1LC3A,-1.1251883129210292,3.388127517315495e-05,7.899096646479125e-05,4.102422572492055,Down,-1.3318569947961412,6.69327418113556e-12,3.287885368166118e-11,10.483083332506911,Down
MAP1LC3B,-0.7805146164560384,5.3136389276150115e-09,2.8129058621541585e-08,7.550844801866471,Not Significant,-0.7499884012200425,6.532120558992684e-10,2.472143574311321e-09,8.60692631039533,Not Significant
PCBP1,-0.2674336912204254,0.0140285034861379,0.0204964676025168,1.6883209795745884,Not Significant,0.0807281440327483,0.2092809153774557,0.2427733253275311,0.6147990329982126,Not Significant
PCBP2,0.2479257766897475,0.0287459358088716,0.0398002415253673,1.400114292428423,Not Significant,-0.0486695755880656,0.4912159985954282,0.5317249718573016,0.274312943061484,Not Significant
PRNP,-1.6208434440001227,2.0436540658546125e-08,9.491826214577857e-08,7.022650221860176,Down,-2.402939451677678,1.7581760377432002e-17,2.0915262144993108e-16,15.679536687745532,Down
SLC39A14,0.5931714896106328,0.0167402475307963,0.0240812871091307,1.6183203043970047,Not Significant,0.5513483483254149,0.0003859460194732,0.0006669952044988,3.175877288522971,Not Significant
SLC3A2,1.1711727573112576,2.9378917399477088e-08,1.322270121449672e-07,6.878679815446758,Up,-1.2109584930813948,4.5343142459080807e-10,1.7506556745421815e-09,8.756799264168555,Down
STEAP3,3.761018745957415,1.1969262419553429e-12,1.576187576661193e-11,10.8023920998786,Up,0.8314736837456134,5.8584440994551846e-08,1.700517139744256e-07,6.7694189863958645,Not Significant
TP53,2.5104637547572715,1.2999299020853764e-06,4.019488592267674e-06,5.395829199573432,Up,0.4042520259035794,0.0191751219009248,0.026049836056738,1.5841950055651493,Not Significant
VDAC2,-0.5517900981101711,0.0064274128903838,0.009953844344001,2.0020091549391923,Not Significant,-1.3556024114999192,2.5703242093137207e-14,1.7410133322996749e-13,12.75919790313769,Down
VDAC3,-0.4811089337452969,0.0317493503079384,0.0436169309971596,1.3603448957928266,Not Significant,-1.2184886065926128,7.215291319800869e-09,2.3565725556262083e-08,7.627719184369015,Down
