,log2FC_rna,pvalue_rna,adjustedpvalue_rna,-log(adjustedp)_rna,category_rna,log2FC_prot,pvalue_prot,adjustedpvalue_prot,-log(adjustedp)_prot,category_prot
AIFM1,0.4200311410027524,2.286940510396339e-05,5.51955886481378e-05,4.258095630646308,Not Significant,-0.928261700861198,3.485387973217383e-13,2.008826324098545e-12,11.697057609168176,Not Significant
BAX,1.7102341918159496,3.206451470626163e-17,2.158103661351739e-15,14.665927698452084,Up,0.404467069657017,0.0030007726342153,0.004571873880203,2.339905758567076,Not Significant
BID,0.4413446288971308,0.0015350238333231,0.0026483696004277,2.577021405854256,Not Significant,0.5604868316774557,1.94522021992586e-08,5.974563962587276e-08,7.223693785032939,Not Significant
BIRC2,0.3722531967317586,1.4247802897385278e-05,3.5847244352712114e-05,4.445544223773273,Not Significant,-0.1502754636034645,0.0012578093073775,0.0020182730199618,2.695020085352463,Not Significant
CAMK2A,-5.198609490484706,6.0148701656045624e-18,6.311854380031285e-16,15.199843029234374,Down,-3.393344076523248,4.8008784127952405e-17,5.238191131948182e-16,15.28081865901579,Down
CAMK2B,-3.0988458956693314,1.4042261961319393e-15,4.861228419186652e-14,13.31325397183604,Down,-2.62995332921046,5.010159490843275e-18,6.737676154412291e-17,16.171489867164887,Down
CAMK2G,-2.148725855904324,1.9770068942102725e-15,6.466353068920222e-14,13.189340586192516,Down,-2.3239991178833908,1.2267660560097687e-16,1.2290094203085353e-15,14.910444788250784,Down
CAPN2,1.2216725628427874,1.0367201183912904e-05,2.684121941062416e-05,4.571197757829594,Up,0.6181133579218745,1.376479307435981e-06,3.325080786981e-06,5.478197798507092,Not Significant
CASP1,2.2939564173204694,1.791034237416511e-07,6.68998105588948e-07,6.174575112028038,Up,1.1423468256748583,4.691244735032709e-10,1.807892130579617e-09,8.742827485636981,Up
CASP8,2.437777783923885,1.0428793382576039e-10,8.29200193654862e-10,9.081340605151226,Up,0.759110013272093,0.0005622097458687,0.0009520158198711,3.021355834781834,Not Significant
CFLAR,1.0052225138850197,0.0009813729408227,0.0017532099673432,2.7561660689615697,Up,0.3908686488124808,0.0083388576160544,0.0119888354869489,1.9212229992325525,Not Significant
CHMP1A,0.3377483324442956,4.025502769654299e-06,1.124283751081159e-05,4.949124066011933,Not Significant,-0.0244542538181981,0.7250181962340706,0.7549734298319769,0.1220683324508212,Not Significant
CHMP1B,-0.3347331537399931,0.0248841465820609,0.0347736014242865,1.4587503280772312,Not Significant,-0.2467576155986847,7.441422430886381e-05,0.0001420982683601,3.847411214445724,Not Significant
CHMP2A,0.7282791614411472,3.985253169254846e-06,1.1142781134352852e-05,4.9530063997764175,Not Significant,-0.2595283840410047,0.0396232983016949,0.0515033606421506,1.2881644319156338,Not Significant
CHMP3,-0.825386637841941,0.0009606681645609,0.0017186594014893,2.764810181899283,Not Significant,-0.4545324467039054,4.2123045729928625e-10,1.6348202199956262e-09,8.786529999429847,Not Significant
CHMP4A,-0.7288362869001634,4.418694073071992e-06,1.224929116459198e-05,4.91188904209236,Not Significant,0.6457890194646971,4.547844389864096e-06,1.0268657755769062e-05,4.9884863205078185,Not Significant
CHMP4B,-0.5390902049956523,0.0001098030745782,0.0002313166401718,3.635793124363617,Not Significant,-0.1152802785458686,0.2159517365969852,0.2500658166912914,0.6019456710722841,Not Significant
CHMP6,0.6680943416257641,1.4774006101310376e-05,3.7078559408221405e-05,4.430877147591559,Not Significant,-0.7831897091181547,1.2250337362623768e-06,2.986970288300557e-06,5.524769097346087,Not Significant
CYBB,2.899141799944992,2.691374149415583e-08,1.2218523290316622e-07,6.912981279005096,Up,1.3200388331076882,1.1704144879710846e-10,4.908478809545133e-10,9.309053079563457,Up
CYLD,-0.7009283554652086,1.952125690923457e-05,4.77554983253106e-05,4.320976618742603,Not Significant,-1.327195942578526,4.592904526960264e-21,1.604279973863402e-19,18.79471983773921,Down
DNM1L,-0.8347566923586456,0.0012998808898519,0.0022710718148401,2.643769132492864,Not Significant,-1.675302745622,2.007377138739373e-23,2.5417674134946815e-21,20.594864192435526,Down
FADD,1.2174456551004835,2.1688678924262015e-10,1.5971619260454352e-09,8.796651051286027,Up,0.0931613073668957,0.4520985379041655,0.4934871729283199,0.3067241313405413,Not Significant
FAS,0.9310331756563812,0.0007098382420758,0.0012994567418993,2.886238173313491,Not Significant,0.3603328192040846,0.106827137109713,0.1301455606478234,0.8855706413775313,Not Significant
FTL,1.3285688954757582,2.463764458631528e-06,7.194192219204062e-06,5.143017962594183,Up,-0.0039965532005782,0.9876680931773838,0.9894223023164056,0.0046183045400753,Not Significant
GLUD1,-0.9860589057700756,5.613472156727015e-07,1.883120829399532e-06,5.725121812825661,Not Significant,-1.7900924722619598,1.027550497030654e-17,1.2870966454382763e-16,15.89038884159236,Down
GLUD2,-1.8887448878097413,2.2147904368130335e-07,8.094803537638242e-07,6.091793687189175,Down,-1.0970781149025826,8.919179028898232e-09,2.876076038159904e-08,7.541199636190155,Down
GLUL,-0.5969705395776153,0.0080114905015165,0.012211795326415,1.913220483226424,Not Significant,-1.8244636882501648,1.952131005346064e-11,9.079415386348159e-11,10.041942114326586,Down
HMGB1,0.3882126582543321,0.0062266890206795,0.0096712403938214,2.014517821506959,Not Significant,0.7457530875703295,7.360525422768323e-08,2.1100443163204482e-07,6.675708423313058,Not Significant
HSP90AA1,-0.8543908714209607,9.06141479562269e-08,3.641192367415356e-07,6.43875637629811,Not Significant,-0.5862372170064049,2.8269229791670748e-11,1.284392897867747e-10,9.891302104557868,Not Significant
HSP90AB1,-0.6955980770683823,0.0004001693685727,0.0007652441569858,3.1161999777691447,Not Significant,-0.1270023043094888,0.0743318613364135,0.0930175937305516,1.0314348994306104,Not Significant
IFNGR1,0.9982127014574048,3.616214273670264e-06,1.019298897396593e-05,4.991698445575926,Not Significant,-0.0543393694728339,0.7379803815119941,0.767089853321185,0.1151537618450115,Not Significant
IL33,0.9888416227522754,0.0080917046147229,0.0123266040055524,1.9091565555854173,Not Significant,0.3945644635970346,0.0382626088617916,0.0498785918317764,1.3020858159858315,Not Significant
IRF9,1.5243046250104122,0.0004068291453757,0.0007766027528451,3.1098010743316133,Up,0.5592852730383582,8.667991695841613e-06,1.883614312359401e-05,4.725008018295626,Not Significant
JAK1,0.2099671171428063,0.0048067034923234,0.0076074769078731,2.1187593572476104,Not Significant,-0.2542580486603916,0.0020164163912106,0.0031477021919783,2.5020063635107506,Not Significant
