,log2FC_rna,pvalue_rna,adjustedpvalue_rna,-log(adjustedp)_rna,category_rna,log2FC_prot,pvalue_prot,adjustedpvalue_prot,-log(adjustedp)_prot,category_prot
BAK1,0.9237226317640844,8.690375677826177e-06,2.286415371596263e-05,4.640844868776603,Not Significant,0.8040121184919649,0.0020347767460378,0.0031749349646991,2.4982651663599063,Not Significant
BAX,1.7102341918159496,3.206451470626163e-17,2.158103661351739e-15,14.665927698452084,Up,0.404467069657017,0.0030007726342153,0.004571873880203,2.339905758567076,Not Significant
CASP1,2.2939564173204694,1.791034237416511e-07,6.68998105588948e-07,6.174575112028038,Up,1.1423468256748583,4.691244735032709e-10,1.807892130579617e-09,8.742827485636981,Up
CASP3,1.5202781887745722,2.5494147816562844e-16,1.1568830860542978e-14,13.936710528383635,Up,1.8362188361766445,2.5707920950567774e-14,1.7410133322996749e-13,12.75919790313769,Up
CASP4,2.459815000856434,4.5959026327356106e-05,0.0001040663590069,3.982689639931072,Up,1.1318281796295933,4.420646068224133e-12,2.2283053232031475e-11,10.652025302233746,Up
CHMP2A,0.7282791614411472,3.985253169254846e-06,1.1142781134352852e-05,4.9530063997764175,Not Significant,-0.2595283840410047,0.0396232983016949,0.0515033606421506,1.2881644319156338,Not Significant
CHMP4B,-0.5390902049956523,0.0001098030745782,0.0002313166401718,3.635793124363617,Not Significant,-0.1152802785458686,0.2159517365969852,0.2500658166912914,0.6019456710722841,Not Significant
CHMP6,0.6680943416257641,1.4774006101310376e-05,3.7078559408221405e-05,4.430877147591559,Not Significant,-0.7831897091181547,1.2250337362623768e-06,2.986970288300557e-06,5.524769097346087,Not Significant
CYCS,-0.819600851007035,0.0013947094749259,0.0024262309187367,2.61506786712957,Not Significant,-1.517784294491737,6.796752683703363e-16,6.005721450311402e-15,14.221434814560956,Down
GSDMD,1.7530934399246156,1.5356002176887817e-05,3.84147916389292e-05,4.41550151807419,Up,0.8850215539350339,2.0909154203798644e-11,9.655873385418815e-11,10.015208437647084,Not Significant
HMGB1,0.3882126582543321,0.0062266890206795,0.0096712403938214,2.014517821506959,Not Significant,0.7457530875703295,7.360525422768323e-08,2.1100443163204482e-07,6.675708423313058,Not Significant
IL18,2.606125494796116,9.348726131793408e-07,2.982237715379569e-06,5.525457741713705,Up,1.4841693967584595,1.8255219587889127e-08,5.627106344025022e-08,7.249714877242162,Up
IRF2,0.5374320302765199,0.0037888894472413,0.0061104137946212,2.2139293785241203,Not Significant,0.776213350167325,4.159997610472827e-08,1.2294552847078838e-07,6.910287261929546,Not Significant
TP53,2.5104637547572715,1.2999299020853764e-06,4.019488592267674e-06,5.395829199573432,Up,0.4042520259035794,0.0191751219009248,0.026049836056738,1.5841950055651493,Not Significant
