,log2FC_rna,pvalue_rna,adjustedpvalue_rna,-log(adjustedp)_rna,category_rna,log2FC_prot,pvalue_prot,adjustedpvalue_prot,-log(adjustedp)_prot,category_prot
A1BG,-0.1940433739595786,0.5273141267265717,0.5712002701767187,0.2432115958113107,Not Significant,1.7231555005559462,7.483926709920357e-17,7.805630573503107e-16,15.107592006947376,Up
A2M,2.3859125752154924,2.7594178776529855e-07,9.847104392304702e-07,6.006691457961345,Up,1.504858437026274,1.353696189787794e-13,8.278862302879642e-13,12.082029340694548,Up
AAAS,1.0174211283101826,8.740346314370551e-07,2.8095165529983705e-06,5.551368404802513,Up,0.5573061728485625,1.4555218882823382e-08,4.549707908447705e-08,7.342016484182732,Not Significant
AACS,-1.6786073385447011,1.7788533067406037e-13,2.982751656063551e-12,11.525382904496157,Down,-0.7594321747805732,5.10582244956086e-10,1.956793294457989e-09,8.708455048546181,Not Significant
AADAT,-0.1228117409383955,0.3635541124242176,0.4099903871668609,0.3872263258396049,Not Significant,-1.089862202937609,2.7659173081208723e-08,8.364448942542173e-08,7.077562665472217,Down
AAED1,1.209738254522783,7.044716219521765e-15,1.8808003890791958e-13,12.725657294041063,Up,0.80367950497139,0.0074724582635843,0.0108081747103158,1.9662476437128185,Not Significant
AAGAB,-0.5729137048720645,0.0029280968676982,0.0048120143303739,2.3176730879836804,Not Significant,-0.1523314795369143,0.1140029171074365,0.1382404897683256,0.8593647362128061,Not Significant
AAK1,-1.5657459965123834,4.026833639149432e-17,2.6341767584929466e-15,14.579355086374042,Down,-1.6232843634082543,1.4802270432215294e-22,1.0180960162176632e-20,19.992211261933328,Down
AAMDC,0.9450981561675248,1.8717500521252385e-08,8.790680664386785e-08,7.0559774961045685,Not Significant,0.4523062191647389,0.0012446593565911,0.0019987132432517,2.6992495099372587,Not Significant
AAMP,0.2080659826792441,0.0766533603984273,0.0984203355408816,1.0069151586749825,Not Significant,-0.3868652584739243,4.550652651742517e-05,8.935624118465923e-05,4.048875108324577,Not Significant
AAR2,1.0847985554053778,9.960497725321196e-18,9.039824692332048e-16,15.04383999163648,Up,0.6956546783349118,2.2923085524365358e-07,6.149649412966983e-07,6.211149642330899,Not Significant
AARS,-0.5297563081282988,0.0004513305344589,0.0008562530704594,3.067397858149207,Not Significant,-0.3990155979785431,1.4432949672589235e-09,5.2055638649335204e-09,8.283532220972688,Not Significant
AARS2,0.1336093833696026,0.1604286153576048,0.1945537343339967,0.7109604287765401,Not Significant,-0.3920563217281294,0.0001667445281443,0.0003028518222744,3.518769808821394,Not Significant
AARSD1,0.094633712105324,0.4812968717880105,0.5265621944387943,0.2785503251312244,Not Significant,-0.4515018850279642,1.1001974837743905e-07,3.0760020436765055e-07,6.512013380327975,Not Significant
AASDHPPT,-0.9888913669646904,0.0012040289646685,0.0021149760749906,2.6746945410824647,Not Significant,-0.6745018558537164,5.913842212919879e-16,5.292965055398368e-15,14.27630097324806,Not Significant
AASS,1.452103458961215,3.155364582331899e-07,1.1149471344234146e-06,5.952745724340031,Up,0.9949390396446266,3.923515296914635e-09,1.3285579286136773e-08,7.876619504461248,Not Significant
AATF,0.920783598387807,1.5272095076699514e-13,2.6254451502162265e-12,11.58079705039435,Not Significant,0.6170352111722937,3.955812855126012e-06,9.014022769046992e-06,5.045081349253839,Not Significant
AATK,-2.0417213497427937,2.9924327514582486e-10,2.1244374586462573e-09,8.672756049589585,Down,-1.9018412496940464,6.236748337017909e-19,1.0096160721620438e-17,16.99584374447501,Down
ABAT,-0.6300328444912786,0.0005930940482435,0.0010993246443432,2.958874036032772,Not Significant,-1.438923366254672,2.451925511327865e-13,1.446010914867521e-12,11.839828428861098,Down
ABCA1,3.453064338485653,5.474911223855268e-12,6.021206950777069e-11,10.22031644569836,Up,1.1313686858053742,2.970131203451736e-12,1.5358219422120776e-11,10.81365913195896,Up
ABCA2,-1.3242661618096427,2.7143438037338763e-06,7.848536015733372e-06,5.105211344475472,Down,-0.7820354243808764,3.216877674818217e-07,8.48997964431613e-07,6.071093351024808,Not Significant
ABCA3,-1.0868110610111437,1.1207895217528086e-14,2.733858024730701e-13,12.56322404305168,Down,-0.6129686198390459,9.050084247860588e-07,2.2493392296079483e-06,5.647945042369185,Not Significant
ABCA5,-2.00743002019815,4.1553767515688593e-11,3.593241664833021e-10,9.444513573172744,Down,-1.831715808404407,5.628372890058792e-17,6.00879317052533e-16,15.221212744638027,Down
ABCA8,0.1859733926167397,0.6868498722970212,0.7247643881345126,0.139803154206289,Not Significant,-0.5730553842926592,0.002254226503528,0.0034949777838787,2.456555580539051,Not Significant
ABCB1,-0.7380843299669806,0.0096676810007229,0.014499362572768,1.838651089986712,Not Significant,-0.2465638807207397,0.0505574005903497,0.0647694747993784,1.1886296245248715,Not Significant
ABCB10,-0.10894246494572,0.1506512592179558,0.1834474538089795,0.7364883117324218,Not Significant,-0.6230010012048756,3.747263615227222e-08,1.1147547005115793e-07,6.952820687714002,Not Significant
ABCB6,0.2861112736715352,0.237344048791,0.2777653284758984,0.5563219651906588,Not Significant,0.2039435317109938,0.0072326584101217,0.0104941094774124,1.979054409435553,Not Significant
ABCB7,0.8520923563661498,5.571971069892169e-08,2.3574983854722267e-07,6.627548596016188,Not Significant,-0.0059314131364541,0.9505918521968336,0.9571203897772144,0.0190334317868788,Not Significant
ABCB8,0.1410516811689994,0.3323124626487834,0.3780593730913432,0.422439990159924,Not Significant,-1.0380375063071412,2.5970849715020044e-11,1.1861806699589452e-10,9.925849157522856,Down
ABCB9,-1.3267343522581054,1.7480813557541523e-09,1.0426389329702388e-08,7.981866062203505,Down,-1.2462543019886494,1.0081846542402808e-10,4.2624671267209915e-10,9.370338957380966,Down
ABCC1,0.5591448821322658,0.0003858734594618,0.0007401540804681,3.1306778622535014,Not Significant,0.0528028132845388,0.6085035707040535,0.6460540256485611,0.1897311630266081,Not Significant
ABCC3,4.756650311337832,6.9797203793035205e-09,3.581951253240125e-08,7.445880328758589,Up,0.3086707689786478,0.0331747814772904,0.0437164578297399,1.3593550344469274,Not Significant
ABCC4,1.139244596029597,2.8899518263837065e-10,2.0618537322230493e-09,8.685742146783602,Up,0.2702804711753174,0.0105758470644906,0.014928667221899,1.82597896280488,Not Significant
ABCD1,1.8922047565688,1.9367179357351863e-08,9.053594656425185e-08,7.043178953447848,Up,0.7306765483509672,3.914642554861866e-07,1.021240961242034e-06,5.990871774278456,Not Significant
ABCD2,-1.6691254557070805,1.0720836143822956e-08,5.309818255303464e-08,7.274920343715071,Down,-1.0534769672323554,3.810859286245473e-07,9.975420048248912e-07,6.001068807842138,Down
ABCD3,0.6726358961124568,5.5043807288447766e-11,4.6286420252405917e-10,9.334546405839426,Not Significant,0.7695971209950558,1.5455954817471442e-11,7.253428029533826e-11,10.139456693780533,Not Significant
ABCD4,0.5571330981521712,0.0554500455601118,0.0729815281951126,1.136787046976358,Not Significant,0.9089915843299532,9.274769166701016e-11,3.9452828874618254e-10,9.403921851248224,Not Significant
ABCE1,0.3745612674259639,0.0334227218991374,0.0457597853237171,1.3395160216482431,Not Significant,0.5119521855989693,5.063084166258047e-12,2.5330561034218774e-11,10.596355191126662,Not Significant
ABCF1,0.8254612358846387,4.6571932208207575e-11,3.9759800429278225e-10,9.40055580417112,Not Significant,0.6885189682097794,7.023100387077134e-13,3.898850769551246e-12,11.409063387330797,Not Significant
ABCF2,0.3084062739530537,0.0065421189364066,0.0101112774110709,1.9951939742275853,Not Significant,0.278821458246176,0.004573195530159,0.0068168970748139,2.166413263164194,Not Significant
ABCF3,-0.0928782446237441,0.3483511927329725,0.3943908648676068,0.4040731530197119,Not Significant,0.3866925358445819,1.0157330885074709e-07,2.85518922988773e-07,6.54436510325958,Not Significant
ABCG1,-0.0192907551470327,0.9132433640213784,0.9259272996327864,0.0334231111666536,Not Significant,-0.3027454784616942,0.0228312257476914,0.0307240114812825,1.5125220812691886,Not Significant
ABCG2,-0.2373083004657381,0.4172451645454381,0.4640971389677314,0.3333911088797348,Not Significant,0.1968811864078573,0.3313956410909669,0.3711860834874572,0.4304083147212293,Not Significant
