#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACAD9	NDUFS7	9606.ENSP00000312618	9606.ENSP00000233627	0	0	0	0	0.148	0.994	0.500	0.462	0.998
ACAD9	NDUFAF1	9606.ENSP00000312618	9606.ENSP00000260361	0	0	0	0	0.095	0.994	0.800	0.988	0.999
ACAD9	FOXRED1	9606.ENSP00000312618	9606.ENSP00000263578	0	0	0	0	0.206	0.422	0	0.816	0.908
ACAD9	NDUFS3	9606.ENSP00000312618	9606.ENSP00000263774	0	0	0	0	0.155	0.994	0.500	0.477	0.998
ACAD9	ECSIT	9606.ENSP00000312618	9606.ENSP00000270517	0	0	0	0	0.118	0.994	0.800	0.989	0.999
ACAD9	NDUFAF4	9606.ENSP00000312618	9606.ENSP00000358272	0	0	0	0	0.049	0.550	0.500	0.733	0.935
ACAD9	NDUFS5	9606.ENSP00000312618	9606.ENSP00000362058	0	0	0	0	0.088	0.994	0	0.252	0.995
ACAD9	MT-ND6	9606.ENSP00000312618	9606.ENSP00000354665	0	0	0	0	0	0.994	0.500	0.377	0.997
ACAD9	NDUFA13	9606.ENSP00000312618	9606.ENSP00000423673	0	0	0	0	0.089	0.994	0.500	0.279	0.997
ACAD9	NDUFAF3	9606.ENSP00000312618	9606.ENSP00000323076	0	0	0	0	0.057	0.994	0.500	0.546	0.998
ACAD9	NDUFS2	9606.ENSP00000312618	9606.ENSP00000356972	0	0	0	0	0.167	0.994	0.500	0.507	0.998
ACAD9	TMEM126B	9606.ENSP00000312618	9606.ENSP00000351737	0	0	0	0	0.044	0.994	0.800	0.990	0.999
ACAD9	TIMMDC1	9606.ENSP00000312618	9606.ENSP00000418803	0	0	0	0	0.128	0.994	0.500	0.764	0.999
AIFM1	BAX	9606.ENSP00000287295	9606.ENSP00000293288	0	0	0	0	0.060	0	0.900	0.312	0.929
AIFM1	PPIA	9606.ENSP00000287295	9606.ENSP00000419425	0	0	0	0	0.049	0.331	0.800	0.518	0.930
AIFM1	ENDOG	9606.ENSP00000287295	9606.ENSP00000361725	0	0	0	0	0.083	0.633	0	0.853	0.946
AKT1	MAPK1	9606.ENSP00000451828	9606.ENSP00000215832	0	0	0	0.593	0.118	0.110	0.900	0.872	0.988
AKT1	PIK3R2	9606.ENSP00000451828	9606.ENSP00000222254	0	0	0	0	0.128	0.093	0.900	0.677	0.971
AKT1	KRAS	9606.ENSP00000451828	9606.ENSP00000256078	0	0	0	0	0.076	0.110	0	0.893	0.904
AKT1	RHEB	9606.ENSP00000451828	9606.ENSP00000262187	0	0	0	0	0.090	0.110	0.400	0.904	0.947
AKT1	PIK3R3	9606.ENSP00000451828	9606.ENSP00000262741	0	0	0	0	0.051	0.093	0.900	0.610	0.962
AKT1	MAPK3	9606.ENSP00000451828	9606.ENSP00000263025	0	0	0	0.587	0.266	0.110	0.900	0.432	0.957
AKT1	PIK3CA	9606.ENSP00000451828	9606.ENSP00000263967	0	0	0	0	0.060	0.738	0.900	0.951	0.998
AKT1	STAT3	9606.ENSP00000451828	9606.ENSP00000264657	0	0	0	0	0.118	0.096	0.500	0.925	0.966
AKT1	TP53	9606.ENSP00000451828	9606.ENSP00000269305	0	0	0	0	0.049	0.184	0.900	0.934	0.994
AKT1	ITPR1	9606.ENSP00000451828	9606.ENSP00000306253	0	0	0	0	0.042	0.440	0	0.967	0.981
AKT1	CASP3	9606.ENSP00000451828	9606.ENSP00000311032	0	0	0	0	0.044	0.311	0	0.923	0.945
AKT1	CASP9	9606.ENSP00000451828	9606.ENSP00000330237	0	0	0	0	0.085	0.067	0.900	0.887	0.989
AKT1	HSP90AA1	9606.ENSP00000451828	9606.ENSP00000335153	0	0	0	0	0.049	0.883	0.900	0.996	0.999
AKT1	PDPK1	9606.ENSP00000451828	9606.ENSP00000344220	0	0	0.082	0.744	0.095	0.918	0.900	0.926	0.999
AKT1	STAT1	9606.ENSP00000451828	9606.ENSP00000354394	0	0	0	0	0.106	0.096	0.400	0.930	0.961
AKT1	MTOR	9606.ENSP00000451828	9606.ENSP00000354558	0	0	0	0	0.060	0.925	0.900	0.954	0.999
AKT1	JUN	9606.ENSP00000451828	9606.ENSP00000360266	0	0	0	0	0.049	0.085	0.900	0.915	0.991
AKT1	HSP90AB1	9606.ENSP00000451828	9606.ENSP00000360609	0	0	0	0	0.049	0.626	0.900	0.996	0.999
AKT1	PTEN	9606.ENSP00000451828	9606.ENSP00000361021	0	0	0	0	0	0.648	0	0.967	0.988
AKT1	ITPR3	9606.ENSP00000451828	9606.ENSP00000363435	0	0	0	0	0.067	0.292	0	0.954	0.967
AKT1	BCL2L1	9606.ENSP00000451828	9606.ENSP00000365230	0	0	0	0	0.095	0.292	0.900	0.888	0.991
AKT1	PIK3CD	9606.ENSP00000451828	9606.ENSP00000366563	0	0	0	0	0.042	0.098	0.900	0.757	0.976
AKT1	CYBB	9606.ENSP00000451828	9606.ENSP00000367851	0	0	0	0	0.060	0.063	0	0.994	0.994
AKT1	AKT1S1	9606.ENSP00000451828	9606.ENSP00000375711	0	0	0	0	0.141	0.626	0.900	0.882	0.995
AKT1	AKT2	9606.ENSP00000451828	9606.ENSP00000375892	0	0	0.050	0.981	0.131	0.787	0.900	0.569	0.991
AKT1	BAD	9606.ENSP00000451828	9606.ENSP00000378040	0	0	0	0	0.060	0.860	0.900	0.572	0.993
AKT1	BCL2	9606.ENSP00000451828	9606.ENSP00000381185	0	0	0	0	0	0	0.900	0.934	0.993
AKT1	TNF	9606.ENSP00000451828	9606.ENSP00000398698	0	0	0	0	0.074	0.057	0	0.903	0.907
AKT1	PPP2CA	9606.ENSP00000451828	9606.ENSP00000418447	0	0	0	0	0.055	0.842	0.650	0.667	0.980
AKT1	IKBKB	9606.ENSP00000451828	9606.ENSP00000430684	0	0	0	0.601	0.152	0.775	0.900	0.570	0.990
AKT1	TRAF6	9606.ENSP00000451828	9606.ENSP00000433623	0	0	0	0	0.075	0.644	0	0.873	0.954
AKT1	HIF1A	9606.ENSP00000451828	9606.ENSP00000437955	0	0	0	0	0	0.229	0	0.916	0.932
AKT1	MLST8	9606.ENSP00000451828	9606.ENSP00000457870	0	0.004	0	0	0.104	0	0.400	0.926	0.956
AKT1	AKT3	9606.ENSP00000451828	9606.ENSP00000500582	0	0	0.050	0.981	0	0.592	0.900	0.057	0.958
AKT1	PIK3CB	9606.ENSP00000451828	9606.ENSP00000501150	0	0	0	0	0.049	0.334	0.900	0.901	0.992
AKT1S1	RB1CC1	9606.ENSP00000375711	9606.ENSP00000025008	0	0	0	0	0	0	0.900	0.644	0.962
AKT1S1	RHEB	9606.ENSP00000375711	9606.ENSP00000262187	0	0	0	0	0	0.071	0.900	0.980	0.997
AKT1S1	RRAGB	9606.ENSP00000375711	9606.ENSP00000262850	0	0	0	0	0	0	0.900	0.618	0.960
AKT1S1	DEPTOR	9606.ENSP00000375711	9606.ENSP00000286234	0	0	0	0	0	0	0.800	0.998	0.999
AKT1S1	PRKACA	9606.ENSP00000375711	9606.ENSP00000309591	0	0	0	0	0.086	0.071	0.900	0.210	0.924
AKT1S1	ULK1	9606.ENSP00000375711	9606.ENSP00000324560	0	0	0	0	0.128	0	0.900	0.492	0.951
AKT1S1	ATG101	9606.ENSP00000375711	9606.ENSP00000338990	0	0	0	0	0.067	0	0.900	0.585	0.957
AKT1S1	MTOR	9606.ENSP00000375711	9606.ENSP00000354558	0	0	0	0	0.060	0.985	0.900	0.997	0.999
AKT1S1	PRKACB	9606.ENSP00000375711	9606.ENSP00000359719	0	0	0	0	0	0.071	0.900	0.208	0.920
AKT1S1	RRAGC	9606.ENSP00000375711	9606.ENSP00000362092	0	0	0	0	0.049	0.800	0.900	0.614	0.991
AKT1S1	IGBP1	9606.ENSP00000375711	9606.ENSP00000363661	0	0	0	0	0	0	0.900	0.109	0.907
AKT1S1	RRAGA	9606.ENSP00000375711	9606.ENSP00000369899	0	0	0	0	0	0.800	0.900	0.760	0.994
AKT1S1	ULK2	9606.ENSP00000375711	9606.ENSP00000378914	0	0	0	0	0	0	0.900	0.275	0.924
AKT1S1	AKT3	9606.ENSP00000375711	9606.ENSP00000500582	0	0	0	0	0.058	0.096	0.900	0.622	0.963
AKT1S1	AKT2	9606.ENSP00000375711	9606.ENSP00000375892	0	0	0	0	0.076	0.096	0.900	0.654	0.967
AKT1S1	AKT1	9606.ENSP00000375711	9606.ENSP00000451828	0	0	0	0	0.141	0.626	0.900	0.882	0.995
AKT1S1	MLST8	9606.ENSP00000375711	9606.ENSP00000457870	0	0	0	0	0.156	0.905	0.800	0.998	0.999
AKT2	MAPK1	9606.ENSP00000375892	9606.ENSP00000215832	0	0	0	0.592	0.083	0.110	0.900	0.240	0.929
AKT2	PIK3R2	9606.ENSP00000375892	9606.ENSP00000222254	0	0	0	0	0.074	0.093	0.900	0.615	0.963
AKT2	PIK3R3	9606.ENSP00000375892	9606.ENSP00000262741	0	0	0	0	0.051	0.093	0.900	0.528	0.953
AKT2	MAPK3	9606.ENSP00000375892	9606.ENSP00000263025	0	0	0	0.587	0.062	0.110	0.900	0.604	0.962
AKT2	PIK3CA	9606.ENSP00000375892	9606.ENSP00000263967	0	0	0	0	0.042	0.098	0.900	0.841	0.984
AKT2	TP53	9606.ENSP00000375892	9606.ENSP00000269305	0	0	0	0	0.072	0	0.900	0.734	0.973
AKT2	CASP9	9606.ENSP00000375892	9606.ENSP00000330237	0	0	0	0	0.049	0.067	0.900	0.424	0.942
AKT2	HSP90AA1	9606.ENSP00000375892	9606.ENSP00000335153	0	0	0	0	0.047	0.223	0.900	0.380	0.948
AKT2	PDPK1	9606.ENSP00000375892	9606.ENSP00000344220	0	0	0.089	0.753	0.162	0.464	0.900	0.213	0.962
AKT2	MTOR	9606.ENSP00000375892	9606.ENSP00000354558	0	0	0	0	0.060	0.073	0.900	0.668	0.967
AKT2	JUN	9606.ENSP00000375892	9606.ENSP00000360266	0	0	0	0	0	0.085	0.900	0.677	0.967
AKT2	HSP90AB1	9606.ENSP00000375892	9606.ENSP00000360609	0	0	0	0	0.047	0.224	0.900	0.364	0.946
AKT2	BCL2L1	9606.ENSP00000375892	9606.ENSP00000365230	0	0	0	0	0.049	0	0.900	0.413	0.939
AKT2	PIK3CD	9606.ENSP00000375892	9606.ENSP00000366563	0	0	0	0	0.042	0.286	0.900	0.520	0.962
AKT2	AKT1S1	9606.ENSP00000375892	9606.ENSP00000375711	0	0	0	0	0.076	0.096	0.900	0.654	0.967
AKT2	BAD	9606.ENSP00000375892	9606.ENSP00000378040	0	0	0	0	0.054	0.065	0.900	0.201	0.919
AKT2	IKBKB	9606.ENSP00000375892	9606.ENSP00000430684	0	0	0	0.604	0.163	0	0.900	0.175	0.925
AKT2	BCL2	9606.ENSP00000375892	9606.ENSP00000381185	0	0	0	0	0.047	0	0.900	0.517	0.950
AKT2	AKT3	9606.ENSP00000375892	9606.ENSP00000500582	0	0	0.051	0.979	0	0.162	0.900	0.617	0.965
AKT2	PIK3CB	9606.ENSP00000375892	9606.ENSP00000501150	0	0	0	0	0.048	0.276	0.900	0.783	0.983
AKT2	AKT1	9606.ENSP00000375892	9606.ENSP00000451828	0	0	0.050	0.981	0.131	0.787	0.900	0.569	0.991
AKT3	MAPK1	9606.ENSP00000500582	9606.ENSP00000215832	0	0	0	0.601	0.085	0.110	0.900	0.218	0.927
AKT3	PIK3R2	9606.ENSP00000500582	9606.ENSP00000222254	0	0	0	0	0.067	0.093	0.900	0.657	0.967
