#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACAD9	NDUFAF7	9606.ENSP00000312618	9606.ENSP00000002125	0	0	0	0	0.055	0	0.500	0.505	0.746
ACAD9	NDUFB4	9606.ENSP00000312618	9606.ENSP00000184266	0	0	0	0	0.057	0	0.500	0.198	0.588
ACAD9	NDUFB7	9606.ENSP00000312618	9606.ENSP00000215565	0	0	0	0	0.112	0	0.500	0.218	0.622
ACAD9	NDUFS7	9606.ENSP00000312618	9606.ENSP00000233627	0	0	0	0	0.148	0.994	0.500	0.462	0.998
ACAD9	NDUFA2	9606.ENSP00000312618	9606.ENSP00000252102	0	0	0	0	0.092	0.240	0.500	0.348	0.745
ACAD9	NDUFA10	9606.ENSP00000312618	9606.ENSP00000252711	0	0	0	0	0.138	0	0.500	0.454	0.744
ACAD9	NDUFB5	9606.ENSP00000312618	9606.ENSP00000259037	0	0	0	0	0.107	0.470	0.500	0.198	0.785
ACAD9	NDUFAF1	9606.ENSP00000312618	9606.ENSP00000260361	0	0	0	0	0.095	0.994	0.800	0.988	0.999
ACAD9	FOXRED1	9606.ENSP00000312618	9606.ENSP00000263578	0	0	0	0	0.206	0.422	0	0.816	0.908
ACAD9	NDUFS3	9606.ENSP00000312618	9606.ENSP00000263774	0	0	0	0	0.155	0.994	0.500	0.477	0.998
ACAD9	SDHA	9606.ENSP00000312618	9606.ENSP00000264932	0	0	0	0	0.168	0.213	0	0.409	0.579
ACAD9	NDUFA9	9606.ENSP00000312618	9606.ENSP00000266544	0	0	0	0	0.159	0.088	0.573	0.375	0.768
ACAD9	UQCRC2	9606.ENSP00000312618	9606.ENSP00000268379	0	0	0	0	0.142	0	0	0.356	0.424
ACAD9	NDUFB10	9606.ENSP00000312618	9606.ENSP00000268668	0	0	0	0	0.092	0	0.500	0.331	0.669
ACAD9	ECSIT	9606.ENSP00000312618	9606.ENSP00000270517	0	0	0	0	0.118	0.994	0.800	0.989	0.999
ACAD9	NDUFS6	9606.ENSP00000312618	9606.ENSP00000274137	0	0	0	0	0.087	0.088	0.500	0.351	0.693
ACAD9	NDUFB11	9606.ENSP00000312618	9606.ENSP00000276062	0	0	0	0	0.080	0.359	0.500	0.317	0.772
ACAD9	NDUFB9	9606.ENSP00000312618	9606.ENSP00000276689	0	0	0	0	0.126	0	0.500	0.282	0.659
ACAD9	NDUFC2	9606.ENSP00000312618	9606.ENSP00000281031	0	0	0	0	0.063	0.545	0.500	0.318	0.835
ACAD9	NUBPL	9606.ENSP00000312618	9606.ENSP00000281081	0	0	0	0	0.062	0.095	0	0.673	0.699
